instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,level_1_target,level_1_pct,level_1_capital_pct,part_1_time,part_1_price
NIFTY,buy,PE,23600.0,WEEK,1,2025-01-01 09:32:00+05:30,104.5,1,1,95.58846153846154,2025-01-01 09:35:00+05:30,105.94871601845111,TARGET,10.360254479989564,10.838394418369155,777.0190859992173,75,CLOSED,95.58846153846154,0,100.0,2025-01-01 09:32:00+05:30,95.58846153846154
NIFTY,buy,PE,23600.0,WEEK,1,2025-01-01 09:36:00+05:30,103.5,1,1,99.31153846153846,2025-01-01 09:42:00+05:30,111.5412791107155,TARGET,12.229740649177032,12.314521392610775,917.2305486882774,75,CLOSED,99.31153846153846,0,100.0,2025-01-01 09:39:00+05:30,99.31153846153846
NIFTY,buy,CE,23650.0,WEEK,1,2025-01-01 09:39:00+05:30,110.55,1,1,110.38846153846154,2025-01-01 09:49:00+05:30,97.14125107999999,STOP_LOSS,-13.247210458461552,-12.000539072506196,-993.5407843846165,75,CLOSED,110.38846153846154,0,100.0,2025-01-01 09:39:00+05:30,110.38846153846154
NIFTY,buy,PE,23600.0,WEEK,1,2025-01-01 09:43:00+05:30,118.85,1,1,120.20384615384616,2025-01-01 10:12:00+05:30,117.01984689181728,STOP_LOSS,-3.183999262028877,-2.6488330980306145,-238.79994465216578,75,CLOSED,120.20384615384616,0,100.0,2025-01-01 09:54:00+05:30,120.20384615384616
NIFTY,buy,CE,23600.0,WEEK,1,2025-01-01 10:11:00+05:30,150.95,1,1,156.02692307692308,2025-01-01 10:21:00+05:30,167.41181689667516,TARGET,11.38489381975208,7.296749557856239,853.867036481406,75,CLOSED,156.02692307692308,0,100.0,2025-01-01 10:20:00+05:30,156.02692307692308
NIFTY,buy,CE,23650.0,WEEK,1,2025-01-01 10:22:00+05:30,136.1,1,1,133.76923076923077,2025-01-01 10:29:00+05:30,143.91962098066588,TARGET,10.15039021143511,7.587985781981392,761.2792658576332,75,CLOSED,133.76923076923077,0,100.0,2025-01-01 10:23:00+05:30,133.76923076923077
NIFTY,buy,CE,23650.0,WEEK,1,2025-01-01 10:30:00+05:30,146.15,1,1,139.64615384615385,2025-01-01 10:39:00+05:30,146.58893100252988,TARGET,6.9427771563760245,4.971692356113711,520.7082867282019,75,CLOSED,139.64615384615385,0,100.0,2025-01-01 10:32:00+05:30,139.64615384615385
NIFTY,buy,CE,23650.0,WEEK,1,2025-01-01 10:40:00+05:30,154.0,1,1,211.08076923076925,2025-01-01 11:17:00+05:30,227.02512349497636,TARGET,15.944354264207107,7.5536745115683885,1195.826569815533,75,CLOSED,211.08076923076925,0,100.0,2025-01-01 11:00:00+05:30,211.08076923076925
NIFTY,buy,CE,23750.0,WEEK,1,2025-01-01 11:18:00+05:30,157.8,1,1,151.03846153846155,2025-01-01 11:28:00+05:30,139.54739735424346,STOP_LOSS,-11.49106418421809,-7.608038420923613,-861.8298138163567,75,CLOSED,151.03846153846155,0,100.0,2025-01-01 11:23:00+05:30,151.03846153846155
NIFTY,buy,PE,23750.0,WEEK,1,2025-01-01 11:30:00+05:30,138.7,1,1,143.35,2025-01-01 11:55:00+05:30,150.37913318671283,TARGET,7.029133186712841,4.903476237678996,527.184989003463,75,CLOSED,143.35,0,100.0,2025-01-01 11:41:00+05:30,143.35
NIFTY,buy,CE,23750.0,WEEK,1,2025-01-01 12:15:00+05:30,143.9,1,1,159.3923076923077,2025-01-01 12:50:00+05:30,149.55402820324827,STOP_LOSS,-9.838279489059431,-6.172367808395956,-737.8709616794573,75,CLOSED,159.3923076923077,0,100.0,2025-01-01 12:27:00+05:30,159.3923076923077
NIFTY,buy,CE,23750.0,WEEK,1,2025-01-01 12:51:00+05:30,157.05,1,1,157.02692307692308,2025-01-01 12:53:00+05:30,149.55402820324827,STOP_LOSS,-7.472894873674818,-4.758989558761243,-560.4671155256113,75,CLOSED,157.02692307692308,0,100.0,2025-01-01 12:51:00+05:30,157.02692307692308
NIFTY,buy,PE,23750.0,WEEK,1,2025-01-01 12:58:00+05:30,133.1,1,1,131.20000000000002,2025-01-01 13:11:00+05:30,140.15866323275543,TARGET,8.958663232755413,6.828249415209918,671.899742456656,75,CLOSED,131.20000000000002,0,100.0,2025-01-01 13:04:00+05:30,131.20000000000002
NIFTY,buy,PE,23750.0,WEEK,1,2025-01-01 13:12:00+05:30,137.1,1,1,131.5423076923077,2025-01-01 13:39:00+05:30,128.20660576267167,STOP_LOSS,-3.3357019296360306,-2.53583960031978,-250.1776447227023,75,CLOSED,131.5423076923077,0,100.0,2025-01-01 13:15:00+05:30,131.5423076923077
NIFTY,buy,CE,23750.0,WEEK,1,2025-01-01 13:53:00+05:30,151.95,1,1,144.20769230769233,2025-01-01 13:57:00+05:30,151.3108783159325,TARGET,7.103186008240186,4.925663738578034,532.738950618014,75,CLOSED,144.20769230769233,0,100.0,2025-01-01 13:55:00+05:30,144.20769230769233
NIFTY,buy,CE,23750.0,WEEK,1,2025-01-01 13:58:00+05:30,152.1,1,1,170.64615384615388,2025-01-01 14:10:00+05:30,162.12943967476352,STOP_LOSS,-8.516714171390362,-4.99086207302897,-638.7535628542771,75,CLOSED,170.64615384615385,0,100.0,2025-01-01 14:08:00+05:30,170.64615384615385
NIFTY,buy,PE,23800.0,WEEK,1,2025-01-01 14:16:00+05:30,123.15,1,1,118.93846153846154,2025-01-01 14:45:00+05:30,123.91861410098035,TARGET,4.9801525625188106,4.187167462989557,373.5114421889108,75,CLOSED,118.93846153846154,0,100.0,2025-01-01 14:22:00+05:30,118.93846153846154
NIFTY,buy,CE,23800.0,WEEK,1,2025-01-02 09:37:00+05:30,123.0,1,1,121.28461538461538,2025-01-02 09:55:00+05:30,141.7079787445287,TARGET,20.423363359913324,16.839203632832703,1531.7522519934994,75,CLOSED,121.28461538461536,0,100.0,2025-01-02 09:47:00+05:30,121.28461538461536
NIFTY,buy,CE,23850.0,WEEK,1,2025-01-02 09:56:00+05:30,106.4,1,1,94.48076923076923,2025-01-02 10:05:00+05:30,107.21654287963342,TARGET,12.735773648864196,13.479752284570287,955.1830236648148,75,CLOSED,94.48076923076923,0,100.0,2025-01-02 10:01:00+05:30,94.48076923076923
NIFTY,buy,PE,23750.0,WEEK,1,2025-01-02 09:30:00+05:30,101.6,1,1,72.75,2025-01-02 10:07:00+05:30,71.2968762941525,STOP_LOSS,-1.4531237058475028,-1.9974209015085949,-108.98427793856271,75,CLOSED,72.75,0,100.0,2025-01-02 09:47:00+05:30,72.75
NIFTY,buy,CE,23850.0,WEEK,1,2025-01-02 10:06:00+05:30,106.1,1,1,101.67692307692306,2025-01-02 10:12:00+05:30,112.53609933650725,TARGET,10.859176259584189,10.68007954112532,814.4382194688142,75,CLOSED,101.67692307692307,0,100.0,2025-01-02 10:09:00+05:30,101.67692307692307
NIFTY,buy,CE,23850.0,WEEK,1,2025-01-02 10:16:00+05:30,105.4,1,1,104.1,2025-01-02 10:20:00+05:30,117.38225318266112,TARGET,13.282253182661123,12.759128897849301,996.1689886995841,75,CLOSED,104.1,0,100.0,2025-01-02 10:16:00+05:30,104.1
NIFTY,buy,CE,23850.0,WEEK,1,2025-01-02 10:21:00+05:30,110.4,1,1,105.7923076923077,2025-01-02 10:24:00+05:30,118.36426505186063,TARGET,12.571957359552925,11.883621440717517,942.8968019664694,75,CLOSED,105.79230769230769,0,100.0,2025-01-02 10:21:00+05:30,105.79230769230769
NIFTY,buy,CE,23850.0,WEEK,1,2025-01-02 10:25:00+05:30,117.0,1,1,113.63846153846154,2025-01-02 10:36:00+05:30,125.21113409551772,TARGET,11.57267255705618,10.18376384226158,867.9504417792135,75,CLOSED,113.63846153846154,0,100.0,2025-01-02 10:30:00+05:30,113.63846153846154
NIFTY,buy,CE,23850.0,WEEK,1,2025-01-02 10:39:00+05:30,116.8,1,1,116.52692307692307,2025-01-02 10:48:00+05:30,124.40254550306327,TARGET,7.875622426140197,6.758629008801041,590.6716819605148,75,CLOSED,116.52692307692307,0,100.0,2025-01-02 10:39:00+05:30,116.52692307692307
NIFTY,buy,CE,23900.0,WEEK,1,2025-01-02 10:49:00+05:30,113.7,1,1,107.9423076923077,2025-01-02 10:57:00+05:30,118.22936947395304,TARGET,10.287061781645349,9.53014809630426,771.5296336234012,75,CLOSED,107.9423076923077,0,100.0,2025-01-02 10:56:00+05:30,107.9423076923077
NIFTY,buy,CE,23950.0,WEEK,1,2025-01-02 10:58:00+05:30,84.5,1,1,83.46153846153848,2025-01-02 11:06:00+05:30,93.52800837118433,TARGET,10.066469909645846,12.06120818667244,754.9852432234385,75,CLOSED,83.46153846153847,0,100.0,2025-01-02 10:58:00+05:30,83.46153846153847
NIFTY,buy,CE,23900.0,WEEK,1,2025-01-02 11:07:00+05:30,117.95,1,1,116.86923076923077,2025-01-02 11:09:00+05:30,124.7785421094955,TARGET,7.909311340264736,6.767659278841675,593.1983505198552,75,CLOSED,116.86923076923077,0,100.0,2025-01-02 11:07:00+05:30,116.86923076923077
NIFTY,buy,CE,23950.0,WEEK,1,2025-01-02 11:10:00+05:30,98.75,1,1,92.34615384615385,2025-01-02 11:29:00+05:30,100.27175412921784,TARGET,7.925600283063986,8.582490935429556,594.420021229799,75,CLOSED,92.34615384615384,0,100.0,2025-01-02 11:14:00+05:30,92.34615384615384
NIFTY,buy,CE,23950.0,WEEK,1,2025-01-02 11:30:00+05:30,97.5,1,1,95.91538461538461,2025-01-02 11:50:00+05:30,84.84754642992212,STOP_LOSS,-11.067838185462492,-11.539168851633042,-830.0878639096869,75,CLOSED,95.91538461538461,0,100.0,2025-01-02 11:34:00+05:30,95.91538461538461
NIFTY,buy,PE,23950.0,WEEK,1,2025-01-02 11:47:00+05:30,93.7,1,1,94.06923076923076,2025-01-02 12:01:00+05:30,92.25799787529822,STOP_LOSS,-1.8112328939325408,-1.9254254330789953,-135.84246704494058,75,CLOSED,94.06923076923077,0,100.0,2025-01-02 11:56:00+05:30,94.06923076923077
NIFTY,buy,PE,23950.0,WEEK,1,2025-01-02 12:16:00+05:30,93.4,1,1,81.71538461538461,2025-01-02 12:20:00+05:30,77.32453309356058,STOP_LOSS,-4.3908515218240325,-5.373347433278022,-329.3138641368024,75,CLOSED,81.71538461538461,0,100.0,2025-01-02 12:19:00+05:30,81.71538461538461
NIFTY,buy,PE,23950.0,WEEK,1,2025-01-02 12:21:00+05:30,85.0,1,1,82.91538461538462,2025-01-02 12:30:00+05:30,79.4617323013218,STOP_LOSS,-3.453652314062822,-4.165273224122523,-259.02392355471164,75,CLOSED,82.91538461538462,0,100.0,2025-01-02 12:21:00+05:30,82.91538461538462
NIFTY,buy,CE,24000.0,WEEK,1,2025-01-02 12:25:00+05:30,96.75,1,1,124.15384615384615,2025-01-02 13:26:00+05:30,136.93622998257325,TARGET,12.782383828727106,10.295600357710805,958.678787154533,75,CLOSED,124.15384615384616,0,100.0,2025-01-02 12:42:00+05:30,124.15384615384616
NIFTY,buy,CE,24150.0,WEEK,1,2025-01-02 14:19:00+05:30,33.65,1,1,32.12692307692308,2025-01-02 14:26:00+05:30,25.701538461538462,STOP_LOSS,-6.4253846153846155,-20.0,-481.9038461538462,75,CLOSED,32.12692307692308,0,100.0,2025-01-02 14:25:00+05:30,32.12692307692308
NIFTY,buy,CE,24150.0,WEEK,1,2025-01-02 14:33:00+05:30,32.95,1,1,32.19230769230769,2025-01-02 14:36:00+05:30,39.62379738705281,TARGET,7.4314896947451174,23.084675276388655,557.3617271058838,75,CLOSED,32.19230769230769,0,100.0,2025-01-02 14:33:00+05:30,32.19230769230769
NIFTY,buy,CE,24200.0,WEEK,1,2025-01-02 14:37:00+05:30,9.2,1,1,9.096153846153847,2025-01-02 14:38:00+05:30,10.726735735283551,TARGET,1.6305818891297044,17.92605882341324,122.29364168472783,75,CLOSED,9.096153846153847,0,100.0,2025-01-02 14:37:00+05:30,9.096153846153847
NIFTY,buy,CE,24200.0,WEEK,1,2025-01-02 14:39:00+05:30,9.7,1,1,9.353846153846153,2025-01-02 14:40:00+05:30,11.242120350668163,TARGET,1.8882741968220103,20.187141906814258,141.62056476165077,75,CLOSED,9.353846153846153,0,100.0,2025-01-02 14:39:00+05:30,9.353846153846153
NIFTY,buy,PE,24150.0,WEEK,1,2025-01-03 09:30:00+05:30,198.35,1,1,208.5730769230769,2025-01-03 09:44:00+05:30,220.49939063456878,TARGET,11.926313711491872,5.718050425026991,894.4735283618904,75,CLOSED,208.5730769230769,0,100.0,2025-01-03 09:40:00+05:30,208.5730769230769
NIFTY,buy,PE,24100.0,WEEK,1,2025-01-03 09:45:00+05:30,200.7,1,1,193.05,2025-01-03 09:51:00+05:30,208.90858365340026,TARGET,15.858583653400245,8.214754547215875,1189.3937740050185,75,CLOSED,193.05,0,100.0,2025-01-03 09:48:00+05:30,193.05
NIFTY,buy,PE,24050.0,WEEK,1,2025-01-03 09:52:00+05:30,179.7,1,1,177.2807692307692,2025-01-03 10:02:00+05:30,160.5489737841853,STOP_LOSS,-16.731795446583902,-9.43802055867879,-1254.8846584937926,75,CLOSED,177.28076923076924,0,100.0,2025-01-03 09:57:00+05:30,177.28076923076924
NIFTY,buy,PE,24050.0,WEEK,1,2025-01-03 10:14:00+05:30,186.65,1,1,176.94615384615386,2025-01-03 10:33:00+05:30,184.73755516570444,TARGET,7.791401319550573,4.403261190025538,584.355098966293,75,CLOSED,176.94615384615386,0,100.0,2025-01-03 10:18:00+05:30,176.94615384615386
NIFTY,buy,PE,24000.0,WEEK,1,2025-01-03 10:34:00+05:30,165.45,1,1,163.99615384615387,2025-01-03 10:50:00+05:30,153.60707923627723,STOP_LOSS,-10.389074609876644,-6.334950159637718,-779.1805957407483,75,CLOSED,163.99615384615387,0,100.0,2025-01-03 10:42:00+05:30,163.99615384615387
NIFTY,buy,PE,24000.0,WEEK,1,2025-01-03 10:51:00+05:30,167.5,1,1,164.1115384615385,2025-01-03 11:07:00+05:30,162.4000229620185,STOP_LOSS,-1.711515499519976,-1.0428977240507011,-128.3636624639982,75,CLOSED,164.11153846153846,0,100.0,2025-01-03 10:51:00+05:30,164.11153846153846
NIFTY,buy,CE,24050.0,WEEK,1,2025-01-03 11:07:00+05:30,162.4,1,1,156.55,2025-01-03 11:14:00+05:30,163.01056672970424,TARGET,6.460566729704226,4.126839175793181,484.54250472781695,75,CLOSED,156.55,0,100.0,2025-01-03 11:13:00+05:30,156.55
NIFTY,buy,CE,24050.0,WEEK,1,2025-01-03 11:15:00+05:30,171.8,1,1,191.09230769230774,2025-01-03 11:44:00+05:30,199.66089684619413,TARGET,8.568589153886393,4.484005273348486,642.6441865414795,75,CLOSED,191.0923076923077,0,100.0,2025-01-03 11:31:00+05:30,191.0923076923077
NIFTY,buy,CE,24150.0,WEEK,1,2025-01-03 11:45:00+05:30,146.2,1,1,144.52692307692308,2025-01-03 11:58:00+05:30,150.52886229769538,TARGET,6.0019392207723,4.152817407991053,450.1454415579225,75,CLOSED,144.52692307692308,0,100.0,2025-01-03 11:46:00+05:30,144.52692307692308
NIFTY,buy,CE,24150.0,WEEK,1,2025-01-03 11:59:00+05:30,151.3,1,1,149.03846153846155,2025-01-03 12:08:00+05:30,148.74537980173966,STOP_LOSS,-0.29308173672188786,-0.19664839109081508,-21.98113025414159,75,CLOSED,149.03846153846155,0,100.0,2025-01-03 12:04:00+05:30,149.03846153846155
NIFTY,buy,PE,24100.0,WEEK,1,2025-01-03 12:07:00+05:30,161.9,1,1,150.06923076923076,2025-01-03 12:15:00+05:30,154.21480452701928,TARGET,4.145573757788526,2.7624408658183834,310.91803183413947,75,CLOSED,150.06923076923076,0,100.0,2025-01-03 12:13:00+05:30,150.06923076923076
NIFTY,buy,PE,24100.0,WEEK,1,2025-01-03 12:16:00+05:30,170.25,1,1,172.0653846153846,2025-01-03 12:28:00+05:30,183.22365703621338,TARGET,11.15827242082878,6.4849024955081545,836.8704315621585,75,CLOSED,172.0653846153846,0,100.0,2025-01-03 12:27:00+05:30,172.0653846153846
NIFTY,buy,PE,24050.0,WEEK,1,2025-01-03 12:29:00+05:30,159.6,1,1,153.87307692307692,2025-01-03 12:42:00+05:30,143.50037926723246,STOP_LOSS,-10.372697655844462,-6.7410737883859335,-777.9523241883346,75,CLOSED,153.87307692307692,0,100.0,2025-01-03 12:33:00+05:30,153.87307692307692
NIFTY,buy,PE,24100.0,WEEK,1,2025-01-03 13:37:00+05:30,166.15,1,1,159.56153846153848,2025-01-03 13:44:00+05:30,165.5318122470381,TARGET,5.970273785499614,3.741674743841054,447.7705339124711,75,CLOSED,159.56153846153848,0,100.0,2025-01-03 13:42:00+05:30,159.56153846153848
NIFTY,buy,CE,24100.0,WEEK,1,2025-01-03 13:03:00+05:30,146.15,1,1,149.25,2025-01-03 13:46:00+05:30,147.83174641512997,STOP_LOSS,-1.4182535848700297,-0.950253658204375,-106.36901886525223,75,CLOSED,149.25,0,100.0,2025-01-03 13:12:00+05:30,149.25
NIFTY,buy,PE,24100.0,WEEK,1,2025-01-03 13:45:00+05:30,169.35,1,1,162.72692307692307,2025-01-03 13:47:00+05:30,168.68297928971725,TARGET,5.956056212794181,3.660154140552807,446.70421595956356,75,CLOSED,162.72692307692307,0,100.0,2025-01-03 13:45:00+05:30,162.72692307692307
NIFTY,buy,PE,24050.0,WEEK,1,2025-01-03 13:48:00+05:30,142.75,1,1,142.0423076923077,2025-01-03 13:56:00+05:30,148.3202061585967,TARGET,6.2778984662890025,4.419738434472775,470.8423849716752,75,CLOSED,142.0423076923077,0,100.0,2025-01-03 13:53:00+05:30,142.0423076923077
NIFTY,buy,PE,24050.0,WEEK,1,2025-01-03 13:57:00+05:30,160.45,1,1,165.12692307692308,2025-01-03 14:08:00+05:30,171.33591592402362,TARGET,6.208992847100546,3.7601335575108705,465.674463532541,75,CLOSED,165.12692307692308,0,100.0,2025-01-03 14:07:00+05:30,165.12692307692308
NIFTY,buy,PE,24050.0,WEEK,1,2025-01-03 14:09:00+05:30,176.7,1,1,172.48461538461535,2025-01-03 14:38:00+05:30,160.68271734834042,STOP_LOSS,-11.801898036274935,-6.842290258733184,-885.1423527206201,75,CLOSED,172.48461538461535,0,100.0,2025-01-03 14:12:00+05:30,172.48461538461535
NIFTY,buy,PE,24050.0,WEEK,1,2025-01-06 09:34:00+05:30,199.4,1,1,221.6846153846154,2025-01-06 09:45:00+05:30,233.96780316951012,TARGET,12.283187784894722,5.540839071571927,921.2390838671041,75,CLOSED,221.6846153846154,0,100.0,2025-01-06 09:43:00+05:30,221.6846153846154
NIFTY,buy,PE,23900.0,WEEK,1,2025-01-06 09:46:00+05:30,155.5,1,1,151.8346153846154,2025-01-06 09:49:00+05:30,132.9459229829921,STOP_LOSS,-18.888692401623302,-12.440307076074824,-1416.6519301217477,75,CLOSED,151.8346153846154,0,100.0,2025-01-06 09:46:00+05:30,151.8346153846154
NIFTY,buy,CE,24000.0,WEEK,1,2025-01-06 10:00:00+05:30,159.1,1,1,145.7423076923077,2025-01-06 10:01:00+05:30,162.51548004795848,TARGET,16.773172355650786,11.508787407883261,1257.987926673809,75,CLOSED,145.7423076923077,0,100.0,2025-01-06 10:00:00+05:30,145.7423076923077
NIFTY,buy,CE,24000.0,WEEK,1,2025-01-06 10:02:00+05:30,158.0,1,1,151.2076923076923,2025-01-06 10:09:00+05:30,167.61256214940147,TARGET,16.40486984170917,10.849229686229803,1230.365238128188,75,CLOSED,151.2076923076923,0,100.0,2025-01-06 10:05:00+05:30,151.2076923076923
NIFTY,buy,CE,24000.0,WEEK,1,2025-01-06 10:10:00+05:30,166.75,1,1,160.08461538461538,2025-01-06 10:16:00+05:30,171.29060316750068,TARGET,11.205987782885302,7.000040419850509,840.4490837163976,75,CLOSED,160.08461538461538,0,100.0,2025-01-06 10:12:00+05:30,160.08461538461538
NIFTY,buy,PE,24000.0,WEEK,1,2025-01-06 10:28:00+05:30,171.85,1,1,260.5576923076923,2025-01-06 11:01:00+05:30,277.3918950210576,TARGET,16.8342027133653,6.460835051258362,1262.5652035023975,75,CLOSED,260.5576923076923,0,100.0,2025-01-06 10:57:00+05:30,260.5576923076923
NIFTY,buy,PE,23850.0,WEEK,1,2025-01-06 11:02:00+05:30,180.85,1,1,178.30384615384614,2025-01-06 11:04:00+05:30,192.96553709922662,TARGET,14.661690945380485,8.2228685817186,1099.6268209035363,75,CLOSED,178.30384615384614,0,100.0,2025-01-06 11:02:00+05:30,178.30384615384614
NIFTY,buy,PE,23800.0,WEEK,1,2025-01-06 11:05:00+05:30,162.05,1,1,156.71923076923076,2025-01-06 11:09:00+05:30,168.54257961367267,TARGET,11.82334884444191,7.544287185694398,886.7511633331433,75,CLOSED,156.71923076923076,0,100.0,2025-01-06 11:06:00+05:30,156.71923076923076
NIFTY,buy,CE,24050.0,WEEK,1,2025-01-06 10:17:00+05:30,144.7,1,1,77.35,2025-01-06 11:12:00+05:30,76.98684386469426,STOP_LOSS,-0.3631561353057293,-0.4694972660707555,-27.2367101479297,75,CLOSED,77.35,0,100.0,2025-01-06 10:57:00+05:30,77.35
NIFTY,buy,PE,23750.0,WEEK,1,2025-01-06 11:10:00+05:30,167.95,1,1,173.76923076923077,2025-01-06 11:41:00+05:30,183.98292901055592,TARGET,10.213698241325147,5.8777369250653795,766.0273680993861,75,CLOSED,173.76923076923077,0,100.0,2025-01-06 11:20:00+05:30,173.76923076923077
