instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price
NIFTY,sell,STRADDLE,25950.0,MONTH,2,2026-02-10 09:48:00+05:30,817.7,1,1,817.7,2026-02-10 10:05:00+05:30,802.25,TARGET,15.450000000000045,1.8894460070930714,1158.7500000000034,75,CLOSED,25950.0,25950.0,520.2,297.5,507.65,294.6
NIFTY,sell,STRADDLE,25950.0,MONTH,2,2026-02-10 10:47:00+05:30,818.15,1,1,818.15,2026-02-10 13:20:00+05:30,805.6,TARGET,12.549999999999955,1.5339485424433117,941.2499999999966,75,CLOSED,25950.0,25950.0,522.4,295.75,511.05,294.55
NIFTY,sell,STRADDLE,26000.0,MONTH,2,2026-02-11 10:39:00+05:30,780.1,1,1,780.1,2026-02-11 11:08:00+05:30,771.55,TARGET,8.550000000000068,1.0960133316241594,641.2500000000051,75,CLOSED,26000.0,26000.0,488.5,291.6,467.85,303.7
NIFTY,sell,STRADDLE,26000.0,MONTH,2,2026-02-11 11:33:00+05:30,777.35,1,1,777.35,2026-02-11 11:44:00+05:30,768.75,TARGET,8.600000000000023,1.1063227632340673,645.0000000000017,75,CLOSED,26000.0,26000.0,486.6,290.75,470.05,298.7
NIFTY,sell,STRADDLE,25950.0,MONTH,2,2026-02-11 13:20:00+05:30,783.2,1,1,783.2,2026-02-11 13:30:00+05:30,775.25,TARGET,7.9500000000000455,1.0150663942798832,596.2500000000034,75,CLOSED,25950.0,25950.0,490.7,292.5,492.45,282.8
NIFTY,sell,STRADDLE,25950.0,MONTH,2,2026-02-11 14:14:00+05:30,779.45,1,1,779.45,2026-02-11 14:45:00+05:30,780.25,EOD,-0.7999999999999545,-0.10263647443709725,-59.99999999999659,75,CLOSED,25950.0,25950.0,497.45,282.0,495.0,285.25
NIFTY,sell,STRADDLE,25850.0,MONTH,2,2026-02-12 09:44:00+05:30,793.4,1,1,793.4,2026-02-12 09:49:00+05:30,784.8,TARGET,8.600000000000023,1.0839425258381676,645.0000000000017,75,CLOSED,25850.0,25850.0,504.4,289.0,507.7,277.1
NIFTY,sell,STRADDLE,25900.0,MONTH,2,2026-02-12 10:14:00+05:30,777.75,1,1,777.75,2026-02-12 10:46:00+05:30,769.85,TARGET,7.899999999999977,1.015750562520087,592.4999999999983,75,CLOSED,25900.0,25900.0,487.15,290.6,470.35,299.5
NIFTY,sell,STRADDLE,25850.0,MONTH,2,2026-02-12 11:01:00+05:30,788.8499999999999,1,1,788.8499999999999,2026-02-12 11:15:00+05:30,780.05,TARGET,8.799999999999955,1.115547949546803,659.9999999999966,75,CLOSED,25850.0,25850.0,504.95,283.9,499.4,280.65
NIFTY,sell,STRADDLE,25850.0,MONTH,2,2026-02-12 11:45:00+05:30,785.5,1,1,785.5,2026-02-12 11:51:00+05:30,776.7,TARGET,8.799999999999955,1.12030553787396,659.9999999999966,75,CLOSED,25850.0,25850.0,494.35,291.15,485.55,291.15
