Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
200,Exit long,2026-03-24 10:57,L-Exit,22656.45,1,22706.45,-50,-0.22,1.25,0.01,-52.85,-0.23,639.65,0.06
200,Entry long,2026-03-24 10:48,Long,22706.45,1,22706.45,-50,-0.22,1.25,0.01,-52.85,-0.23,639.65,0.06
201,Exit short,2026-03-24 11:09,S-Exit,22689.7,1,22639.7,-50,-0.22,0,0.00,-50,-0.22,589.65,0.06
201,Entry short,2026-03-24 10:57,Short,22639.7,1,22639.7,-50,-0.22,0,0.00,-50,-0.22,589.65,0.06
202,Exit long,2026-03-24 11:54,L-Exit,22796.35,1,22721.35,75,0.33,75,0.33,-31.8,-0.14,664.65,0.07
202,Entry long,2026-03-24 11:15,Long,22721.35,1,22721.35,75,0.33,75,0.33,-31.8,-0.14,664.65,0.07
203,Exit short,2026-04-01 13:48,S-Exit,22713,1,22663,-50,-0.22,14.65,0.06,-50,-0.22,614.65,0.06
203,Entry short,2026-04-01 13:39,Short,22663,1,22663,-50,-0.22,14.65,0.06,-50,-0.22,614.65,0.06
204,Exit short,2026-04-01 14:48,S-Exit,22626.9,1,22701.9,75,0.33,75,0.33,-1.65,-0.01,689.65,0.07
204,Entry short,2026-04-01 14:33,Short,22701.9,1,22701.9,75,0.33,75,0.33,-1.65,-0.01,689.65,0.07
205,Exit short,2026-04-02 13:21,S-Exit,22416.6,1,22366.6,-50,-0.22,35.7,0.16,-50,-0.22,639.65,0.06
205,Entry short,2026-04-02 13:03,Short,22366.6,1,22366.6,-50,-0.22,35.7,0.16,-50,-0.22,639.65,0.06
206,Exit long,2026-04-02 13:36,L-Exit,22504.5,1,22429.5,75,0.33,75,0.33,-8.45,-0.04,714.65,0.07
206,Entry long,2026-04-02 13:21,Long,22429.5,1,22429.5,75,0.33,75,0.33,-8.45,-0.04,714.65,0.07
207,Exit long,2026-04-06 11:48,L-Exit,22665.3,1,22590.3,75,0.33,75,0.33,-0.5,0.00,789.65,0.08
207,Entry long,2026-04-06 11:15,Long,22590.3,1,22590.3,75,0.33,75,0.33,-0.5,0.00,789.65,0.08
208,Exit long,2026-04-07 10:15,L-Exit,22929,1,22854,75,0.33,75,0.33,-42.75,-0.19,864.65,0.09
208,Entry long,2026-04-07 09:45,Long,22854,1,22854,75,0.33,75,0.33,-42.75,-0.19,864.65,0.09
209,Exit long,2026-04-07 11:27,L-Exit,22939.55,1,22864.55,75,0.33,75,0.33,-16.15,-0.07,939.65,0.09
209,Entry long,2026-04-07 11:03,Long,22864.55,1,22864.55,75,0.33,75,0.33,-16.15,-0.07,939.65,0.09
210,Exit short,2026-04-09 10:18,S-Exit,23860.5,1,23810.5,-50,-0.21,51.05,0.21,-50,-0.21,889.65,0.09
210,Entry short,2026-04-09 09:48,Short,23810.5,1,23810.5,-50,-0.21,51.05,0.21,-50,-0.21,889.65,0.09
211,Exit long,2026-04-09 10:39,L-Exit,23819.7,1,23869.7,-50,-0.21,2.5,0.01,-50,-0.21,839.65,0.08
211,Entry long,2026-04-09 10:33,Long,23869.7,1,23869.7,-50,-0.21,2.5,0.01,-50,-0.21,839.65,0.08
212,Exit short,2026-04-09 11:00,S-Exit,23857.9,1,23807.9,-50,-0.21,0,0.00,-50,-0.21,789.65,0.08
