Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
276,Entry long,2026-06-02 12:45,Long,23429.35,1,23429.35,75,0.32,75,0.32,-10.1,-0.04,831.25,0.08
277,Exit long,2026-06-02 15:15,EOD Square-off,23507.25,1,23472.25,35,0.15,35.75,0.15,-49.6,-0.21,866.25,0.09
277,Entry long,2026-06-02 14:48,Long,23472.25,1,23472.25,35,0.15,35.75,0.15,-49.6,-0.21,866.25,0.09
278,Exit long,2026-06-03 12:48,L-Exit,23287.2,1,23337.2,-50,-0.21,10.35,0.04,-50,-0.21,816.25,0.08
278,Entry long,2026-06-03 12:39,Long,23337.2,1,23337.2,-50,-0.21,10.35,0.04,-50,-0.21,816.25,0.08
279,Exit short,2026-06-03 13:18,S-Exit,23324.3,1,23274.3,-50,-0.21,2.35,0.01,-50,-0.21,766.25,0.08
279,Entry short,2026-06-03 12:54,Short,23274.3,1,23274.3,-50,-0.21,2.35,0.01,-50,-0.21,766.25,0.08
280,Exit long,2026-06-03 13:48,L-Exit,23411.65,1,23336.65,75,0.32,75,0.32,-20.25,-0.09,841.25,0.08
280,Entry long,2026-06-03 13:21,Long,23336.65,1,23336.65,75,0.32,75,0.32,-20.25,-0.09,841.25,0.08
281,Exit long,2026-06-04 11:42,L-Exit,23455.5,1,23380.5,75,0.32,75,0.32,-21.05,-0.09,916.25,0.09
