time,open,high,low,close,Up Trend,Down Trend,Up Trend,Down Trend,VWAP,Histogram,MACD,Signal line
2026-03-27T14:15:00+05:30,22911.05,22917.1,22893.75,22894.5,,22955.084047827113,,22979.585486516284,22979.9028584651,-1.1307865129764547,-16.080274298903532,-14.949487785927078
2026-03-27T14:20:00+05:30,22895.5,22905.35,22882.15,22889,,22948.20466566397,,22971.66099407819,22978.410007527847,-1.9601767251223556,-17.399708692330023,-15.439531967207667
2026-03-27T14:25:00+05:30,22888.55,22899.4,22872.1,22885.6,,22940.211932380767,,22964.05989467037,22976.813027534663,-2.453487530350621,-18.506391380145942,-16.05290384979532
2026-03-27T14:30:00+05:30,22885.15,22886.95,22852.7,22858.1,,22924.98883576173,,22950.578905203332,22974.72001215873,-4.242703810328333,-21.356283612705738,-17.113579802377405
2026-03-27T14:35:00+05:30,22856.7,22868.2,22831.35,22836.35,,22905.865643973644,,22933.508514683002,22972.482342674826,-6.37375331493498,-25.08077144604613,-18.70701813111115
2026-03-27T14:40:00+05:30,22837,22867.4,22832.45,22852.9,,22905.865643973644,,22933.508514683002,22970.412628028826,-6.148600528609556,-26.392768791873095,-20.24416826326354
2026-03-27T14:45:00+05:30,22852.6,22864.15,22848.1,22855.8,,22905.865643973644,,22933.508514683002,22968.312554355787,-5.315525881427941,-26.888575615048467,-21.573049733620525
2026-03-27T14:50:00+05:30,22855.2,22869.2,22848.45,22855.7,,22905.865643973644,,22933.508514683002,22966.26785536284,-4.324426571613216,-26.978582948137046,-22.65415637652383
2026-03-27T14:55:00+05:30,22856.45,22865.2,22840.4,22846.55,,22905.865643973644,,22932.32377398352,22963.949951148345,-3.8539291428898537,-27.471567805136146,-23.617638662246293
2026-03-27T15:00:00+05:30,22845,22845,22813.65,22832.2,,22884.468344797657,,22910.766396585164,22953.46090134023,-4.05746710793769,-28.689472547168407,-24.632005439230717
2026-03-27T15:05:00+05:30,22831.3,22831.3,22812.25,22820.65,,22876.156177557772,,22901.05725692665,22944.463573152694,-4.484870356140998,-30.238093384406966,-25.753223028265968
2026-03-27T15:10:00+05:30,22819.8,22833.25,22811.2,22815.2,,22876.09211867988,,22900.194031233983,22936.178354734795,-4.63067316628652,-31.541564486124116,-26.910891319837596
2026-03-27T15:15:00+05:30,22814.4,22819.8,22805.3,22819.75,,22865.17376274589,,22887.072128110583,22928.57941395532,-3.9436001741169733,-31.84039153748381,-27.896791363366837
2026-03-27T15:20:00+05:30,22820.35,22821.3,22804.55,22815.45,,22864.592574608596,,22885.019915299526,22921.83989205879,-3.3263123284101823,-32.054681773879565,-28.728369445469383
2026-03-27T15:25:00+05:30,22815.85,22838.25,22807.75,22835.5,,22864.592574608596,,22885.019915299526,22917.76333861274,-1.2235822568310368,-30.25784726650818,-29.034265009677142
2026-03-30T09:15:00+05:30,22578.95,22618.05,22470.15,22522.45,,22630.162486084257,,22720.336881392614,22536.88333333333,-19.554909387017048,-53.477901743448456,-33.92299235643141
2026-03-30T09:20:00+05:30,22521.2,22551.4,22500.1,22529.3,,22612.639361780046,,22699.753193253357,22533.77343173546,-29.273108989241372,-70.51437859298312,-41.24126960374175
2026-03-30T09:25:00+05:30,22526.1,22590.4,22516.9,22580.75,,22612.639361780046,,22699.753193253357,22539.31503759652,-30.17033589623246,-78.95418947403232,-48.78385357779986
2026-03-30T09:30:00+05:30,22581.4,22685.55,22576.75,22683.6,22534.869850993513,,,22699.753193253357,22556.21610798752,-22.1427216728678,-76.46225566888461,-54.31953399601681
2026-03-30T09:35:00+05:30,22681.55,22714.1,22661.9,22677.4,22591.313858443835,,,22699.753193253357,22569.042224312107,-15.850859232102657,-74.13310803614513,-58.282248804042474
2026-03-30T09:40:00+05:30,22675.8,22703.7,22652.65,22659.25,22591.313858443835,,,22699.753193253357,22576.683939321712,-11.703255975660745,-72.9113187736184,-61.20806279795766
2026-03-30T09:45:00+05:30,22659.55,22690,22628.85,22630.45,22591.313858443835,,,22699.753193253357,22582.195651719187,-9.770041083001665,-73.42061415170974,-63.65057306870808
2026-03-30T09:50:00+05:30,22630.2,22665.3,22617.2,22618.5,22591.313858443835,,,22699.753193253357,22584.964381724,-8.22850870085935,-73.93620894478227,-65.70770024392291
2026-03-30T09:55:00+05:30,22617.95,22629.8,22596.95,22615.3,22591.313858443835,,,22699.753193253357,22586.301998777497,-6.43612600870172,-73.75285775480006,-67.31673174609834
2026-03-30T10:00:00+05:30,22614.7,22665.5,22604.7,22651.2,22591.313858443835,,,22699.753193253357,22588.929472792966,-2.070534976157859,-69.90490046629566,-67.8343654901378
2026-03-30T10:05:00+05:30,22650.05,22650.05,22594.05,22601.6,22591.313858443835,,,22699.753193253357,22590.124738190167,-1.772649391291253,-70.05017722925186,-68.2775278379606
2026-03-30T10:10:00+05:30,22600.2,22600.2,22556.6,22596.75,22591.313858443835,,,22699.753193253357,22589.8575041241,-1.1800577486914534,-69.75260002382493,-68.57254227513347
