time,open,high,low,close,PDH,PDL,Shapes,Shapes
2026-03-06T12:20:00+05:30,24610.6,24612.75,24600.1,24608.85,24854.2,24529.4,0,0
2026-03-06T12:25:00+05:30,24609.7,24609.7,24576.05,24578.3,24854.2,24529.4,0,0
2026-03-06T12:30:00+05:30,24578.25,24598,24578.25,24595.05,24854.2,24529.4,0,0
2026-03-06T12:35:00+05:30,24594.85,24597.9,24584.95,24586.15,24854.2,24529.4,0,0
2026-03-06T12:40:00+05:30,24586.05,24602,24586.05,24599.85,24854.2,24529.4,0,0
2026-03-06T12:45:00+05:30,24599.8,24603.3,24583.8,24595.5,24854.2,24529.4,0,0
2026-03-06T12:50:00+05:30,24596,24611.25,24595.4,24596.95,24854.2,24529.4,0,0
2026-03-06T12:55:00+05:30,24597.2,24607.45,24592.15,24603.7,24854.2,24529.4,0,0
2026-03-06T13:00:00+05:30,24603.6,24614.25,24591.9,24600.1,24854.2,24529.4,0,0
2026-03-06T13:05:00+05:30,24600.75,24610.05,24593.6,24595.1,24854.2,24529.4,0,0
2026-03-06T13:10:00+05:30,24595.45,24603.6,24594.25,24602.65,24854.2,24529.4,0,0
2026-03-06T13:15:00+05:30,24602.05,24606.7,24593.25,24597.8,24854.2,24529.4,0,0
2026-03-06T13:20:00+05:30,24597.85,24614.85,24593.6,24607.15,24854.2,24529.4,0,0
2026-03-06T13:25:00+05:30,24605.85,24613.15,24602.75,24609.65,24854.2,24529.4,0,0
2026-03-06T13:30:00+05:30,24609,24610.65,24576.9,24584.2,24854.2,24529.4,0,0
2026-03-06T13:35:00+05:30,24584,24623.5,24571.55,24600.4,24854.2,24529.4,1,0
2026-03-06T13:40:00+05:30,24600.45,24608.05,24592.2,24594.95,24854.2,24529.4,0,0
2026-03-06T13:45:00+05:30,24596.6,24596.6,24572.4,24581.85,24854.2,24529.4,1,0
2026-03-06T13:50:00+05:30,24580.95,24596.5,24569.45,24575.15,24854.2,24529.4,0,0
2026-03-06T13:55:00+05:30,24574.25,24574.6,24552.95,24554.9,24854.2,24529.4,0,0
2026-03-06T14:00:00+05:30,24555.7,24581.95,24543.2,24567.05,24854.2,24529.4,0,0
2026-03-06T14:05:00+05:30,24566.45,24585,24564.55,24584.9,24854.2,24529.4,1,0
2026-03-06T14:10:00+05:30,24584.1,24605.7,24584.1,24585.75,24854.2,24529.4,0,0
2026-03-06T14:15:00+05:30,24587.2,24615.9,24585.45,24609.25,24854.2,24529.4,0,0
2026-03-06T14:20:00+05:30,24610.05,24612.55,24603.1,24611.7,24854.2,24529.4,0,0
2026-03-06T14:25:00+05:30,24612.45,24616.45,24592.3,24593,24854.2,24529.4,0,0
2026-03-06T14:30:00+05:30,24593.45,24602.3,24581.3,24583.1,24854.2,24529.4,0,0
2026-03-06T14:35:00+05:30,24583.8,24592.45,24567.75,24568.9,24854.2,24529.4,0,0
2026-03-06T14:40:00+05:30,24569.2,24569.2,24534.1,24543.45,24854.2,24529.4,0,0
2026-03-06T14:45:00+05:30,24543.5,24559.75,24445.35,24488.8,24854.2,24529.4,0,0
2026-03-06T14:50:00+05:30,24488.4,24534.8,24484.7,24512.75,24854.2,24529.4,0,0
2026-03-06T14:55:00+05:30,24512.15,24515.35,24481.6,24482.55,24854.2,24529.4,0,0
2026-03-06T15:00:00+05:30,24481.8,24492.8,24459.45,24461.75,24854.2,24529.4,0,0
2026-03-06T15:05:00+05:30,24460.95,24465.35,24445.3,24460.05,24854.2,24529.4,0,0
2026-03-06T15:10:00+05:30,24460.15,24464.1,24431.3,24441.65,24854.2,24529.4,0,0
2026-03-06T15:15:00+05:30,24441.1,24443.85,24415.75,24434.9,24854.2,24529.4,0,0
2026-03-06T15:20:00+05:30,24434,24454.25,24434,24446.8,24854.2,24529.4,0,0
2026-03-06T15:25:00+05:30,24447.25,24474.4,24443.15,24469.4,24854.2,24529.4,0,0
2026-03-09T09:15:00+05:30,23871.85,23959.7,23743.45,23777.25,24700.9,24415.75,0,0
2026-03-09T09:20:00+05:30,23774.35,23786.8,23713.35,23719.2,24700.9,24415.75,0,0
2026-03-09T09:25:00+05:30,23720.95,23748.7,23697.8,23736.8,24700.9,24415.75,0,0
2026-03-09T09:30:00+05:30,23736.75,23799.3,23734.8,23764.4,24700.9,24415.75,0,0
2026-03-09T09:35:00+05:30,23764.85,23782.4,23751.45,23766.2,24700.9,24415.75,0,0
2026-03-09T09:40:00+05:30,23765.55,23776.7,23737.6,23738.7,24700.9,24415.75,0,0
2026-03-09T09:45:00+05:30,23735.65,23773.35,23711.85,23763.9,24700.9,24415.75,0,0
2026-03-09T09:50:00+05:30,23761.75,23784.3,23751.25,23777.1,24700.9,24415.75,0,0
2026-03-09T09:55:00+05:30,23776.5,23786.4,23763.3,23774.7,24700.9,24415.75,0,0
2026-03-09T10:00:00+05:30,23773.9,23789.25,23750.65,23757.1,24700.9,24415.75,0,0
2026-03-09T10:05:00+05:30,23758.6,23813.1,23756.5,23809.35,24700.9,24415.75,0,0
2026-03-09T10:10:00+05:30,23808.7,23834.15,23805.2,23807.25,24700.9,24415.75,0,0
2026-03-09T10:15:00+05:30,23806.2,23806.2,23755.85,23764.45,24700.9,24415.75,0,0
2026-03-09T10:20:00+05:30,23764.5,23797.2,23761.75,23776.75,24700.9,24415.75,0,0
2026-03-09T10:25:00+05:30,23776.3,23787.7,23758.1,23782.6,24700.9,24415.75,0,0
2026-03-09T10:30:00+05:30,23781.85,23785.2,23749.9,23753.1,24700.9,24415.75,0,0
2026-03-09T10:35:00+05:30,23752.3,23791.75,23744.85,23774,24700.9,24415.75,0,0
2026-03-09T10:40:00+05:30,23774.35,23787.3,23763.95,23782.1,24700.9,24415.75,0,0
2026-03-09T10:45:00+05:30,23783.4,23784.9,23754,23754.65,24700.9,24415.75,0,0
2026-03-09T10:50:00+05:30,23754.95,23862.35,23750.15,23851.45,24700.9,24415.75,0,0
2026-03-09T10:55:00+05:30,23852.65,23896,23847.3,23861.7,24700.9,24415.75,0,0
2026-03-09T11:00:00+05:30,23862.35,23871.65,23836.55,23849,24700.9,24415.75,0,0
2026-03-09T11:05:00+05:30,23848.65,23854.15,23824.7,23830.3,24700.9,24415.75,0,0
2026-03-09T11:10:00+05:30,23830.65,23837.3,23784.45,23818.6,24700.9,24415.75,0,0
2026-03-09T11:15:00+05:30,23819.5,23837.1,23787.35,23834.1,24700.9,24415.75,0,0
2026-03-09T11:20:00+05:30,23834.05,23864.75,23831.85,23847,24700.9,24415.75,0,0
2026-03-09T11:25:00+05:30,23846.8,23888.65,23840.05,23877.75,24700.9,24415.75,0,0
2026-03-09T11:30:00+05:30,23877.25,23890,23863.9,23882.15,24700.9,24415.75,0,0
2026-03-09T11:35:00+05:30,23881.45,23904.8,23881.45,23901.1,24700.9,24415.75,0,0
2026-03-09T11:40:00+05:30,23901.05,23932,23891.55,23897.65,24700.9,24415.75,0,0
