symbol,company_name,market_cap_cr,as_of_qtr
NTPCGREEN,NTPC Green Energy Ltd,77910,202603
OIL,Oil India Ltd,77321,202603
PERSISTENT,Persistent Systems Ltd,76796,202603
ABCAPITAL,Aditya Birla Capital Ltd,76558,202603
AUROPHARMA,Aurobindo Pharma Ltd,75690,202603
BHARTIHEXA,Bharti Hexacom Ltd,75190,202603
HAVELLS,Havells India Ltd,74700,202603
NHPC,NHPC Ltd,74012,202603
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,73739,202603
DABUR,Dabur India Ltd,72792,202603
SRF,SRF Ltd,72245,202603
SWIGGY,Swiggy Ltd,71727,202603
LLOYDSME,Lloyds Metals & Energy Ltd,71513,202603
HINDPETRO,Hindustan Petroleum Corporation Ltd,71335,202603
NATIONALUM,National Aluminium Company Ltd,70949,202603
LODHA,Lodha Developers Ltd,67612,202603
NYKAA,FSN E-Commerce Ventures Ltd,67343,202603
NMDC,NMDC Ltd,67055,202603
IDBI,IDBI Bank Ltd,66127,202603
POLICYBZR,PB Fintech Ltd,66082,202603
TORNTPOWER,Torrent Power Ltd,65822,202603
MEESHO,Meesho Ltd,64171,202603
FEDERALBNK,Federal Bank Ltd,63911,202603
GICRE,General Insurance Corporation of India,63606,202603
ALKEM,Alkem Laboratories Ltd,63409,202603
NAUKRI,Info Edge (India) Ltd,63292,202603
AUBANK,AU Small Finance Bank Ltd,63060,202603
SAIL,Steel Authority of India Ltd,62516,202603
BANKINDIA,Bank of India,62394,202603
PAYTM,One 97 Communications Ltd,61358,202603
MCX,Multi Commodity Exchange of India Ltd,60944,202603
BAJAJHFL,Bajaj Housing Finance Ltd,60901,202603
IOB,Indian Overseas Bank,60466,202603
SBICARD,SBI Cards & Payment Services Ltd,60455,202603
GLENMARK,Glenmark Pharmaceuticals Ltd,60202,202603
LTF,L&T Finance Ltd,60155,202603
SCHAEFFLER,Schaeffler India Ltd,60094,202603
FORTIS,Fortis Healthcare Ltd,59989,202603
UNOMINDA,Uno Minda Ltd,59448,202603
FACT,Fertilizers & Chemicals Travancore Ltd,59055,202512
DIXON,Dixon Technologies (India) Ltd,58792,202603
INDUSINDBK,IndusInd Bank Ltd,58651,202603
JSL,Jindal Stainless Ltd,58546,202603
OFSS,Oracle Financial Services Software Ltd,58542,202603
BIOCON,Biocon Ltd,58490,202603
LINDEINDIA,Linde India Ltd,58063,202603
COROMANDEL,Coromandel International Ltd,56391,202603
ATGL,Adani Total Gas Ltd,56068,202603
ABBOTINDIA,Abbott India Ltd,55086,202603
MRF,MRF Ltd,54464,202603
YESBANK,Yes Bank Ltd,54130,202603
SUZLON,Suzlon Energy Ltd,53833,202603
PHOENIXLTD,Phoenix Mills Ltd,53829,202603
APLAPOLLO,APL Apollo Tubes Ltd,53792,202603
LAURUSLABS,Laurus Labs Ltd,53546,202603
RVNL,Rail Vikas Nigam Ltd,52053,202603
OBEROIRLTY,Oberoi Realty Ltd,51526,202603
MFSL,Max Financial Services Ltd,51489,202603
NAM-INDIA,Nippon Life India Asset Management Ltd,51305,202603
IDFCFIRSTB,IDFC First Bank Ltd,50595,202603
JSWINFRA,JSW Infrastructure Ltd,50516,202603
KRT,Knowledge Realty Trust,50313,202603
PATANJALI,Patanjali Foods Ltd,49917,202603
VMM,Vishal Mega Mart Ltd,49208,202603
TIINDIA,Tube Investments of India Ltd,48699,202603
COLPAL,Colgate-Palmolive (India) Ltd,48661,202603
SUNDARMFIN,Sundaram Finance Ltd,48615,202603
PRESTIGE,Prestige Estates Projects Ltd,48509,202603
UPL,UPL Ltd,47908,202603
BERGEPAINT,Berger Paints India Ltd,47829,202603
SUPREMEIND,Supreme Industries Ltd,47754,202603
,Altius Telecom Infrastructure Trust,47539,202603
MAHABANK,Bank of Maharashtra,47165,202603
UCOBANK,UCO Bank,44816,202503
GODREJPROP,Godrej Properties Ltd,44315,202603
HINDCOPPER,Hindustan Copper Ltd,43946,202603
ASTRAL,Astral Ltd,42903,202603
VOLTAS,Voltas Ltd,42031,202603
PIRAMALFIN,Piramal Finance Ltd,41515,202603
3MINDIA,3M India Ltd,41500,202406
PIIND,P I Industries Ltd,41240,202603
UBL,United Breweries Ltd,40775,202603
IPCALAB,Ipca Laboratories Ltd,40669,202603
PREMIERENE,Premier Energies Ltd,40330,202603
BALKRISIND,Balkrishna Industries Ltd,40259,202603
BDL,Bharat Dynamics Ltd,40208,202603
EMBASSY,Embassy Office Parks REIT,39826,202603
M&MFIN,Mahindra & Mahindra Financial Services Ltd,39781,202603
APARINDS,Apar Industries Ltd,39668,202603
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,39552,202603
JKCEMENT,J K Cements Ltd,39236,202603
THERMAX,Thermax Ltd,39204,202603
MPHASIS,Mphasis Ltd,39193,202603
KALYANKJIL,Kalyan Jewellers India Ltd,38816,202603
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,38682,202603
KEI,KEI Industries Ltd,38531,202603
360ONE,360 ONE WAM Ltd,38496,202603
TATACOMM,Tata Communications Ltd,38414,202603
MOTILALOFS,Motilal Oswal Financial Services Ltd,38077,202603
COFORGE,Coforge Ltd,37431,202603
PETRONET,Petronet LNG Ltd,37252,202603
NLCINDIA,NLC India Ltd,37245,202603
ANTHEM,Anthem Biosciences Ltd,36865,202603
AIIL,Authum Investment & Infrastructure Ltd,36546,202603
PAGEIND,Page Industries Ltd,35543,202603
RADICO,Radico Khaitan Ltd,35210,202603
AJANTPHARM,Ajanta Pharma Ltd,35026,202603
ASTERDM,Aster DM Healthcare Ltd,34794,202603
AIAENG,AIA Engineering Ltd,33953,202603
DALBHARAT,Dalmia Bharat Ltd,33311,202603
FLUOROCHEM,Gujarat Fluorochemicals Ltd,33290,202603
JBCHEPHARM,J B Chemicals & Pharmaceuticals Ltd,33126,202603
BLUESTARCO,Blue Star Ltd,33114,202603
LTTS,L&T Technology Services Ltd,33071,202603
NH,Narayana Hrudayalaya Ltd,32813,202603
MANYAVAR,Vedant Fashions Ltd,32797,202409
CONCOR,Container Corporation Of India Ltd,32399,202603
HUDCO,Housing & Urban Development Corporation Ltd,31910,202603
NHIT,National Highways Infra Trust,31764,202603
NAVINFLUOR,Navin Fluorine International Ltd,31557,202603
MRPL,Mangalore Refinery And Petrochemicals Ltd,31529,202603
COCHINSHIP,Cochin Shipyard Ltd,31414,202603
DELHIVERY,Delhivery Ltd,31187,202603
ENDURANCE,Endurance Technologies Ltd,31141,202603
IREDA,Indian Renewable Energy Development Agency Ltd,30677,202603
ESCORTS,Escorts Kubota Ltd,30639,202603
PGHH,Procter & Gamble Hygiene and Health Care Ltd,30270,202603
EMCURE,Emcure Pharmaceuticals Ltd,30258,202603
GODIGIT,Go Digit General Insurance Ltd,30116,202603
SONACOMS,Sona BLW Precision Forgings Ltd,29957,202603
POONAWALLA,Poonawalla Fincorp Ltd,29944,202603
GODFRYPHLP,Godfrey Phillips India Ltd,29220,202603
ATHERENERG,Ather Energy Ltd,28815,202603
