symbol,earning_date,leg,breakout_date,level,entry_time,entry_price,qty,sl_init,tp_price,locked_sl,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
IIFL,2026-01-22,0,2025-03-05,316.55,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
CRAFTSMAN,2026-01-28,1,2025-12-31,7837.0,2026-01-29 09:15,7780.0,12,7391.0,8402.4,7391.0,2026-01-29 10:30,7391.0,SL,-4668.0,-5.0,0
CRAFTSMAN,2026-01-28,2,2025-12-31,7837.0,2026-02-04 09:21,7780.0,12,7391.0,8402.4,7391.0,2026-03-02 09:15,7391.0,SL,-4668.0,-5.0,26
POONAWALLA,2026-01-16,1,2025-10-06,570.4,2026-01-19 09:15,476.5,209,452.67,514.62,452.67,2026-01-20 13:57,452.67,SL,-4979.43,-5.0,1
POONAWALLA,2026-01-16,2,2025-10-06,570.4,2026-02-10 13:15,476.5,209,452.67,514.62,481.26,2026-02-12 09:25,481.26,SL,995.88,1.0,2
ENGINERSIN,2026-02-12,1,2025-11-17,210.97,2026-02-13 09:15,199.1,502,189.14,215.03,201.09,2026-02-13 14:48,201.09,SL,999.48,1.0,0
ENGINERSIN,2026-02-12,2,2025-11-17,210.97,2026-04-01 11:35,199.1,502,189.14,215.03,205.07,2026-04-10 12:05,215.03,TP,7995.86,8.0,9
AARTIIND,2026-02-02,0,2025-12-15,382.8,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
NAVINFLUOR,2026-02-09,1,2025-11-03,6099.0,2026-03-02 09:15,6099.0,16,5794.05,6586.92,6281.97,2026-03-06 10:12,6586.92,TP,7806.72,8.0,4
SYRMA,2026-01-29,1,2025-11-12,901.0,2026-01-30 09:15,747.9,133,710.5,807.73,762.86,2026-01-30 10:06,762.86,SL,1989.41,2.0,0
SYRMA,2026-01-29,2,2025-11-12,901.0,2026-03-10 09:15,747.9,133,710.5,807.73,762.86,2026-03-19 13:26,762.86,SL,1989.41,2.0,9
CHOICEIN,2026-02-03,1,2025-04-23,611.0,2026-03-16 12:56,611.0,163,580.45,659.88,617.11,2026-03-19 14:03,617.11,SL,995.93,1.0,3
CHOICEIN,2026-02-03,2,2025-04-23,611.0,2026-03-24 09:26,611.0,163,580.45,659.88,629.33,2026-03-30 09:15,629.33,SL,2987.79,3.0,6
SAILIFE,2026-02-05,0,,0.0,,0.0,0,0.0,0.0,0.0,,0.0,NO_LEVEL,0.0,0.0,0
RRKABEL,2026-01-31,1,2025-11-04,1460.0,2026-02-01 09:15,1380.0,72,1311.0,1490.4,1393.8,2026-02-01 11:42,1393.8,SL,993.6,1.0,0
RRKABEL,2026-01-31,2,2025-11-04,1460.0,2026-04-08 10:32,1380.0,72,1311.0,1490.4,1421.4,2026-04-17 09:37,1490.4,TP,7948.8,8.0,9
ECLERX,2026-01-28,1,2025-10-27,2412.5,2026-01-29 09:15,2211.0,45,2100.45,2387.88,2277.33,2026-01-29 11:51,2387.88,TP,7959.6,8.0,0
TARIL,2026-01-08,1,2026-01-02,343.7,2026-01-09 09:15,299.5,333,284.52,323.46,284.52,2026-01-09 09:16,284.52,SL,-4986.68,-5.0,0
TARIL,2026-01-08,2,2026-01-02,343.7,2026-02-18 09:38,299.5,333,284.52,323.46,302.5,2026-02-19 15:22,302.5,SL,997.34,1.0,1
