date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,trigger_time,spot_at_trigger,trigger_option_close,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-04-06,NIFTY,2026-04-07,CE,22850,3,22666.05,22591.7,09:18,09:19,74.34999999999854,22591.7,22755.269999999997,09:20,22684.95,132.9,09:21,22685.9,132.35,09:50,22591.1,103.3,SL,-29.049999999999997,-1888.2499999999998,65
2026-04-06,NIFTY,2026-04-07,CE,22750,3,22591.1,22567.85,09:50,09:51,23.25,22567.85,22619.0,10:06,22611.8,145.45,10:07,22612.65,144.65,10:08,22618.3,146.0,TP,1.3499999999999943,87.74999999999963,65
2026-04-06,NIFTY,2026-04-07,PE,22450,-3,22632.05,22610.85,10:08,10:09,21.200000000000728,22632.05,22585.409999999996,10:10,22598.05,143.55,10:11,22598.95,142.85,10:13,22620.3,133.75,SL,-9.099999999999994,-591.4999999999997,65
2026-04-06,NIFTY,2026-04-07,CE,22800,3,22647.35,22616.15,10:12,10:13,31.19999999999709,22616.15,22684.789999999994,10:14,22654.85,145.15,10:15,22659.8,145.45,10:19,22624.15,133.95,SL,-11.5,-747.5,65
2026-04-06,NIFTY,2026-04-07,PE,22450,-3,22657.25,22613.3,10:18,10:19,43.95000000000073,22657.25,22560.559999999998,10:26,22603.45,136.15,10:27,22603.2,137.05,10:39,22640.6,120.95,SL,-16.10000000000001,-1046.5000000000005,65
2026-04-06,NIFTY,2026-04-07,PE,22500,-3,22661.85,22638.15,10:38,10:39,23.69999999999709,22661.85,22609.710000000006,10:41,22635.8,141.4,10:42,22636.4,142.0,10:48,22661.25,133.35,SL,-8.650000000000006,-562.2500000000003,65
2026-04-06,NIFTY,2026-04-07,CE,22800,3,22663.25,22643.2,10:47,10:48,20.049999999999272,22643.2,22687.309999999998,10:50,22667.0,145.65,10:51,22667.75,146.7,10:52,22624.25,128.3,SL,-18.399999999999977,-1195.9999999999986,65
2026-04-06,NIFTY,2026-04-07,CE,22800,3,22633.9,22610.25,10:52,10:53,23.650000000001455,22610.25,22662.280000000002,10:56,22639.45,134.75,10:57,22639.5,135.7,11:02,22608.1,118.15,SL,-17.549999999999983,-1140.7499999999989,65
2026-04-06,NIFTY,2026-04-07,PE,22450,-2,22597.95,22577.4,11:04,11:05,20.549999999999272,22597.95,22552.74,11:10,22573.8,148.15,11:11,22574.45,149.7,11:12,22552.35,156.45,TP,6.75,438.75,65
2026-04-06,NIFTY,2026-04-07,CE,22700,3,22574.45,22542.95,11:11,11:12,31.5,22542.95,22612.25,11:16,22574.8,142.15,11:17,22576.05,142.05,11:21,22612.7,158.65,TP,16.599999999999994,1078.9999999999995,65
2026-04-06,NIFTY,2026-04-07,CE,22750,2,22635.65,22597.1,11:21,11:22,38.55000000000291,22597.1,22681.910000000003,11:37,22641.5,147.5,11:38,22641.35,146.6,11:57,22707.7,182.1,TP,35.5,2307.5,65
2026-04-06,NIFTY,2026-04-07,PE,22550,-2,22707.8,22669.3,11:56,11:57,38.5,22707.8,22623.1,12:03,22667.2,148.75,12:04,22667.85,148.9,12:21,22718.45,128.5,SL,-20.400000000000006,-1326.0000000000005,65
2026-04-06,NIFTY,2026-04-07,PE,22500,-3,22731.1,22659.25,12:20,12:21,71.84999999999854,22731.1,22573.030000000002,12:34,22650.1,135.85,12:35,22649.4,135.4,12:49,22740.95,103.05,SL,-32.35000000000001,-2102.7500000000005,65
2026-04-06,NIFTY,2026-04-07,CE,22900,2,22785.3,22748.35,12:51,12:52,36.95000000000073,22748.35,22829.64,12:56,22788.6,150.85,12:57,22789.25,150.95,13:12,22843.15,178.7,TP,27.75,1803.75,65
2026-04-06,NIFTY,2026-04-07,CE,23000,3,22865.25,22835.3,13:12,13:13,29.950000000000728,22835.3,22901.190000000002,13:16,22873.3,145.95,13:17,22873.7,145.4,14:13,22906.6,158.65,TP,13.25,861.25,65
2026-04-06,NIFTY,2026-04-07,CE,23050,3,22910.2,22887.5,14:12,14:13,22.700000000000728,22887.5,22937.440000000002,14:14,22911.4,133.9,14:15,22911.65,133.95,14:26,22895.65,125.3,SL,-8.649999999999991,-562.2499999999994,65
2026-04-06,NIFTY,2026-04-07,CE,23000,2,22908.65,22881.4,14:25,14:26,27.25,22881.4,22941.350000000002,14:27,22911.75,151.45,14:28,22911.95,151.3,14:45,22917.95,155.25,EOD,3.9499999999999886,256.74999999999926,65
2026-04-07,NIFTY,2026-04-07,CE,22800,0,22773.95,22734.75,09:16,09:17,39.20000000000073,22734.75,22820.99,09:21,22788.7,89.5,09:22,22791.5,88.9,09:24,22817.55,104.3,TP,15.399999999999991,1000.9999999999994,65
2026-04-07,NIFTY,2026-04-07,CE,22850,0,22822.7,22801.3,09:24,09:25,21.400000000001455,22801.3,22848.38,09:26,22869.9,112.6,09:27,22871.55,113.5,09:28,22877.3,116.95,TP,3.450000000000003,224.25000000000017,65
