time,open,high,low,close,EMA,Volume,RSI,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-16T12:47:00+05:30,23122.6,23126.7,23118.8,23124.3,23149.159188182697,898584,37.58253000755478,,,,
2026-03-16T12:48:00+05:30,23124.05,23124.05,23106.35,23107.2,23143.91428965986,931542,33.04260625761761,,,,
2026-03-16T12:49:00+05:30,23107.7,23107.85,23100.6,23102.65,23138.75625345238,1425555,31.937107901597514,,,,
2026-03-16T12:50:00+05:30,23102.4,23105.9,23095.85,23095.85,23133.39297177083,909342,30.305244517847697,,,,
2026-03-16T12:51:00+05:30,23095.65,23102.1,23093.25,23096.6,23128.793850299477,936637,30.72567822649914,,,,
2026-03-16T12:52:00+05:30,23096.05,23108.6,23095.45,23108.6,23126.26961901204,667418,37.24837340973312,,,,
2026-03-16T12:53:00+05:30,23107.8,23128.7,23106.75,23125.45,23126.167166635536,1243230,45.06953752737473,,,,
2026-03-16T12:54:00+05:30,23124.3,23126.55,23121.25,23123.5,23125.833770806094,749180,44.3801638410646,,,,
2026-03-16T12:55:00+05:30,23123.2,23124.15,23114.8,23116.1,23124.61704945533,792411,41.76915081646594,,,,
2026-03-16T12:56:00+05:30,23116.55,23128.3,23116.55,23124.8,23124.639918273413,641584,45.80600896035966,,,,
2026-03-16T12:57:00+05:30,23123.65,23125.25,23115.55,23119.7,23124.022428489236,1632800,43.88536999248816,,,,
2026-03-16T12:58:00+05:30,23119.3,23121.2,23116.95,23117.1,23123.157124928082,570167,42.8978482949396,,,,
2026-03-16T12:59:00+05:30,23116.65,23132.75,23116.65,23132.4,23124.31248431207,791486,50.024518126022116,,,,
2026-03-16T13:00:00+05:30,23132.75,23137.75,23130.9,23134.05,23125.52967377306,655049,50.73855154679972,,,,
2026-03-16T13:01:00+05:30,23134.55,23150.7,23133.4,23148.6,23128.413464551428,863587,56.6239429820065,,,,
2026-03-16T13:02:00+05:30,23148.55,23168.55,23148.55,23167.95,23133.3555314825,991580,62.96152922514223,,,,
2026-03-16T13:03:00+05:30,23167.75,23169.15,23164.95,23164.95,23137.304840047185,731245,61.46216671952541,,,,
2026-03-16T13:04:00+05:30,23166.85,23172.6,23121.9,23121.9,23135.379235041288,1372370,44.9279238394441,,,,
2026-03-16T13:05:00+05:30,23120.95,23120.95,23086.35,23103.65,23131.41308066113,1708052,40.013653437859425,,,,
2026-03-16T13:06:00+05:30,23103.05,23119,23102.45,23116.95,23129.605195578486,548735,44.75608028354281,,,,
2026-03-16T13:07:00+05:30,23115.65,23117.95,23106.2,23111.6,23127.354546131173,771597,43.2740317962943,,,,
2026-03-16T13:08:00+05:30,23111.05,23122.3,23103.2,23118.45,23126.241477864776,1187949,45.75101716164048,,,,
2026-03-16T13:09:00+05:30,23118.1,23131.85,23118.1,23121.55,23125.65504313168,1275953,46.88144687935888,,,,
2026-03-16T13:10:00+05:30,23120.25,23121,23111.65,23116.55,23124.51691274022,792139,45.243859053202456,,,,
2026-03-16T13:11:00+05:30,23115.2,23134.2,23115.2,23132.6,23125.527298647692,1200121,51.143379770794695,,,,
2026-03-16T13:12:00+05:30,23133,23146.3,23127.3,23127.45,23125.76763631673,962415,49.307624216001685,,,,
2026-03-16T13:13:00+05:30,23126.55,23126.95,23119.05,23121.85,23125.27793177714,515426,47.31867592965575,,,,
2026-03-16T13:14:00+05:30,23120.9,23125.4,23113,23116.8,23124.218190304997,667716,45.5348939277426,,,,
2026-03-16T13:15:00+05:30,23117.95,23136,23115.4,23132.15,23125.209666516872,663728,51.51756716958223,,,,
2026-03-16T13:16:00+05:30,23131.9,23140.4,23131,23139.05,23126.939708202262,1328832,53.96542645168982,,,,
2026-03-16T13:17:00+05:30,23138.6,23151.05,23137.9,23150.85,23129.92849467698,778017,57.881844039384625,,,,
2026-03-16T13:18:00+05:30,23149.85,23149.85,23138.3,23141.25,23131.34368284236,653480,53.866717055665504,,,,
2026-03-16T13:19:00+05:30,23140.4,23151.1,23138.7,23151.1,23133.813222487064,910748,57.15104729286216,,,,
2026-03-16T13:20:00+05:30,23150.7,23156.8,23144.8,23154.6,23136.41156967618,1428051,58.28740780644578,,,,
2026-03-16T13:21:00+05:30,23155.1,23159.1,23151.5,23157.4,23139.03512346666,652948,59.219173290808975,,,,
2026-03-16T13:22:00+05:30,23157.2,23168.4,23157.2,23165.15,23142.299483033326,988449,61.765000273282176,,,,
2026-03-16T13:23:00+05:30,23164,23168.95,23151.9,23152.05,23143.518297654162,1466845,55.46232140927596,,,,
2026-03-16T13:24:00+05:30,23151.6,23153.4,23145.7,23149.2,23144.228510447392,850337,54.16729644796869,,,,
2026-03-16T13:25:00+05:30,23150,23161.8,23150,23154.85,23145.556196641468,928449,56.343584804330526,,,,
2026-03-16T13:26:00+05:30,23153.9,23160.4,23146.45,23147.55,23145.805422061283,863967,52.85170670247348,,,,
2026-03-16T13:27:00+05:30,23146.75,23147.55,23133.4,23133.4,23144.254744303624,855598,46.79752134246433,,,,
2026-03-16T13:28:00+05:30,23132.75,23134.7,23122.25,23126,23141.97290126567,1099518,43.96137934412106,,,,
2026-03-16T13:29:00+05:30,23126.3,23131.15,23121.85,23124.5,23139.788788607464,981631,43.38737821019791,,,,
2026-03-16T13:30:00+05:30,23123.75,23137.95,23122,23137.75,23139.53394003153,858946,49.642232676453816,,,,
2026-03-16T13:31:00+05:30,23136.7,23144.2,23119.95,23119.95,23137.08594752759,846992,42.800832899912294,,,,
2026-03-16T13:32:00+05:30,23118.4,23122.4,23115.35,23119.05,23134.83145408664,1356946,42.48204176533031,,,,
2026-03-16T13:33:00+05:30,23117.75,23117.9,23100.7,23113.25,23132.13377232581,1404440,40.39399148607638,,,,
2026-03-16T13:34:00+05:30,23112.25,23114,23103.9,23108.3,23129.154550785086,630748,38.64806784339109,,,,
2026-03-16T13:35:00+05:30,23107.9,23113.95,23106.65,23112.55,23127.07898193695,1008286,41.005756883041194,,,,
2026-03-16T13:36:00+05:30,23111.35,23122.2,23111.35,23118.8,23126.04410919483,969020,44.39018651767001,,,,
2026-03-16T13:37:00+05:30,23121.1,23129.2,23121.1,23124.5,23125.851095545477,1099453,47.35639064591269,,,,
2026-03-16T13:38:00+05:30,23124,23130.45,23119.15,23128.1,23126.132208602292,791410,49.19941321615024,,,,
2026-03-16T13:39:00+05:30,23128.7,23129.4,23119.5,23128.2,23126.390682527006,983970,49.25256052919023,,,,
2026-03-16T13:40:00+05:30,23126.35,23131.25,23122.95,23131.15,23126.98559721113,920444,50.88498670274474,,,,
2026-03-16T13:41:00+05:30,23130.7,23147.85,23127.05,23139.2,23128.512397559738,1862132,55.126920067007674,,,,
2026-03-16T13:42:00+05:30,23139.25,23139.25,23123.35,23124.8,23128.04834786477,933160,47.26326289264214,,,,
2026-03-16T13:43:00+05:30,23124.35,23132.2,23122.25,23126.05,23127.798554381672,871957,47.95725296701649,,,,
2026-03-16T13:44:00+05:30,23125.85,23125.85,23107.05,23108.25,23125.354985083963,646119,39.90431218754543,,,,
2026-03-16T13:45:00+05:30,23107.45,23110,23097.25,23099.7,23122.148111948467,730771,36.71515200393784,,,,
2026-03-16T13:46:00+05:30,23098.1,23110.25,23092.85,23110,23120.62959795491,741995,42.6603625541624,,,,
2026-03-16T13:47:00+05:30,23110.4,23119.35,23109.25,23118.2,23120.325898210547,509383,46.93443247669859,,,,
2026-03-16T13:48:00+05:30,23117.65,23118.3,23102.45,23103.15,23118.178910934228,897360,40.90749244819143,,,,
2026-03-16T13:49:00+05:30,23102.9,23116.95,23100.8,23107.8,23116.88154706745,886430,43.32890099171219,,,,
2026-03-16T13:50:00+05:30,23107.85,23110.25,23097.15,23098.95,23114.640103684018,753913,39.97180034494846,,,,
2026-03-16T13:51:00+05:30,23098.85,23116.6,23098.85,23110.7,23114.147590723514,995776,45.958573116809525,,,,
2026-03-16T13:52:00+05:30,23110.75,23129.5,23110.75,23129.5,23116.066641883073,947590,53.88354979363969,,,,
2026-03-16T13:53:00+05:30,23129.9,23141.45,23129.9,23138.45,23118.86456164769,1210210,57.10828781283388,,,,
2026-03-16T13:54:00+05:30,23138.4,23142.55,23130.05,23130.05,23120.26274144173,947321,53.33847248527078,,,,
2026-03-16T13:55:00+05:30,23127.6,23131.05,23122.1,23124.35,23120.77364876151,873779,50.883869169314224,,,,
2026-03-16T13:56:00+05:30,23124.15,23130.15,23115.75,23129.65,23121.883192666322,901715,53.04750952398888,,,,
2026-03-16T13:57:00+05:30,23129,23131.1,23122.55,23128.55,23122.716543583032,530396,52.53029316940177,,,,
2026-03-16T13:58:00+05:30,23127.4,23129.55,23123.7,23129,23123.501975635154,569378,52.733326249333956,,,,
2026-03-16T13:59:00+05:30,23128.3,23133.25,23126.65,23130.8,23124.41422868076,565444,53.58843459442761,,,,
2026-03-16T14:00:00+05:30,23130.45,23134.45,23128.8,23132.35,23125.406200095662,852016,54.354226117378694,,,,
2026-03-16T14:01:00+05:30,23131.65,23132.25,23123.7,23125.1,23125.367925083705,644825,50.183281830310385,,,,
2026-03-16T14:02:00+05:30,23124.55,23127.9,23121.6,23125.05,23125.32818444824,698448,50.15469741140459,,,,
2026-03-16T14:03:00+05:30,23124.05,23128.9,23122.2,23128.55,23125.73091139221,724201,52.20689094645424,,,,
2026-03-16T14:04:00+05:30,23128,23132.15,23122.9,23123.7,23125.477047468183,583305,49.18495841095045,,,,
2026-03-16T14:05:00+05:30,23123.45,23133.9,23122.05,23132.95,23126.41116653466,616073,54.584375778851864,,,,
2026-03-16T14:06:00+05:30,23132.5,23134.2,23117.95,23119.35,23125.528520717828,964786,46.72348594435312,,,,
2026-03-16T14:07:00+05:30,23119.45,23134.75,23116,23133.1,23126.4749556281,818234,53.94500518559887,,,,
2026-03-16T14:08:00+05:30,23133.55,23134.6,23126.55,23128.05,23126.671836174588,687674,51.20004242976816,,,,
2026-03-16T14:09:00+05:30,23127.4,23142.9,23127.4,23137.6,23128.037856652765,990914,55.78228609318544,,,,
2026-03-16T14:10:00+05:30,23136.35,23141.8,23136.35,23140.2,23129.55812457117,991717,56.967004066469485,,,,
2026-03-16T14:11:00+05:30,23138.3,23178.35,23137,23178.35,23135.657108999774,1887188,69.76691679773803,,,,
2026-03-16T14:12:00+05:30,23178.65,23180.7,23174.4,23176.45,23140.756220374802,1023536,68.67138503143633,,,,
2026-03-16T14:13:00+05:30,23176.55,23179.85,23161.15,23161.15,23143.30544282795,764085,60.44084244128639,,,,
2026-03-16T14:14:00+05:30,23161.4,23166.5,23152.65,23155.3,23144.804762474458,825169,57.59827201762148,,,,
2026-03-16T14:15:00+05:30,23155.05,23160.25,23144.2,23144.2,23144.72916716515,605031,52.54827645945021,,,,
2026-03-16T14:16:00+05:30,23144.15,23146.8,23134.9,23135.6,23143.58802126951,546136,48.96617503728613,,,,
2026-03-16T14:17:00+05:30,23135.35,23152.7,23134.6,23151,23144.51451861082,819241,54.895511763843245,,,,
2026-03-16T14:18:00+05:30,23149.6,23206,23149.6,23204.85,23152.05645378447,2344858,68.62339585457282,,,,
2026-03-16T14:19:00+05:30,23204.3,23226.85,23204.3,23225.6,23161.24939706141,2433439,72.14185933567704,,,,
2026-03-16T14:20:00+05:30,23226.55,23248.55,23225.2,23244.25,23171.62447242873,2591268,74.86953683110826,,,,
2026-03-16T14:21:00+05:30,23246.55,23277.55,23244,23261.85,23182.902663375142,4039930,77.1439082038946,,,,
2026-03-16T14:22:00+05:30,23267.45,23297.95,23266.45,23291.25,23196.44608045325,2613737,80.34408200154463,,,,
2026-03-16T14:23:00+05:30,23293.1,23314.55,23292.55,23311.7,23210.852820396594,3701818,82.20994421079497,,,,
2026-03-16T14:24:00+05:30,23315.4,23343.6,23308.55,23336.45,23226.55246784702,2952866,84.16865624015077,,,,
2026-03-16T14:25:00+05:30,23339.7,23359.8,23316.7,23316.7,23237.820909366143,2735412,76.89323730216918,,,,
2026-03-16T14:26:00+05:30,23320.45,23349.45,23302.15,23346.05,23251.349545695375,3503987,79.70127004460991,,,,
2026-03-16T14:27:00+05:30,23348.8,23361.2,23337.3,23355.25,23264.337102483452,3440498,80.50117061696653,,,,
2026-03-16T14:28:00+05:30,23355.15,23374.7,23342.8,23357,23275.91996467302,3698221,80.65731230354461,,,,
2026-03-16T14:29:00+05:30,23358.2,23363.35,23342.95,23347.85,23284.91121908889,2803410,77.17740076766754,,,,
2026-03-16T14:30:00+05:30,23352.85,23368.2,23340.3,23340.3,23291.83481670278,4198758,74.32778573220224,,,,
2026-03-16T14:31:00+05:30,23342.25,23360.4,23337.65,23355.15,23299.74921461493,2761797,76.18996013864916,,,,
2026-03-16T14:32:00+05:30,23358.5,23367.75,23355.1,23360.75,23307.374312788066,2222265,76.87128583730346,,,,
2026-03-16T14:33:00+05:30,23361.35,23386.55,23357.5,23371.5,23315.390023689557,3858282,78.16307391628072,,,,
2026-03-16T14:34:00+05:30,23373.1,23381.5,23365.7,23365.85,23321.69752072836,3541615,75.76783238514122,,,,
2026-03-16T14:35:00+05:30,23370.25,23373.45,23358.1,23366.1,23327.247830637316,3251594,75.80316554515619,,,,
2026-03-16T14:36:00+05:30,23370.7,23383.35,23360.95,23378.95,23333.710601807652,2924541,77.61028393070198,,,,
2026-03-16T14:37:00+05:30,23377.3,23394.25,23373.8,23375.05,23338.878026581697,3161391,75.76093217647895,,,,
2026-03-16T14:38:00+05:30,23377.95,23386.3,23369.1,23374.2,23343.293273258983,2795200,75.3395633987145,,,,
2026-03-16T14:39:00+05:30,23379.8,23418.55,23377.3,23411.6,23351.83161410161,3525049,80.48313191538941,,,,
2026-03-16T14:40:00+05:30,23415,23434.45,23401.9,23414.55,23359.67141233891,3365370,80.82289939747767,,,,
2026-03-16T14:41:00+05:30,23417.15,23420.15,23390.75,23391.85,23363.693735796547,3076842,70.63304171180643,,,,
2026-03-16T14:42:00+05:30,23394.15,23405.05,23390.05,23404.2,23368.75701882198,2866714,72.65311593005626,,,,
2026-03-16T14:43:00+05:30,23407.9,23442.6,23407.9,23426.85,23376.018641469233,3532316,75.92408934664408,,,,
2026-03-16T14:44:00+05:30,23429.3,23450.8,23419.6,23427.85,23382.497561285578,3234950,76.06023554380519,,,,
2026-03-16T14:45:00+05:30,23429.85,23437.2,23419.45,23423.6,23387.63536612488,2312432,74.1413163017773,,,,
