time,open,high,low,close,Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close)
2026-03-24T10:36:00+05:30,22661.1,22664.1,22624.2,22647.25,22702.985954805154,22702.985954805154,22624.2,22649.1625,22702.985954805154,22702.985954805154,22624.2,22649.1625
2026-03-24T10:39:00+05:30,22647.75,22659.25,22629.55,22649.1,22676.074227402576,22676.074227402576,22629.55,22646.4125,22676.074227402576,22676.074227402576,22629.55,22646.4125
2026-03-24T10:42:00+05:30,22648.8,22680.65,22645.45,22667.9,22661.243363701287,22680.65,22645.45,22660.699999999997,22661.243363701287,22680.65,22645.45,22660.699999999997
2026-03-24T10:45:00+05:30,22667.55,22677.05,22657,22674.9,22660.971681850642,22677.05,22657,22669.125,22660.971681850642,22677.05,22657,22669.125
2026-03-24T10:48:00+05:30,22674.05,22723.5,22670.6,22706.45,22665.04834092532,22723.5,22665.04834092532,22693.649999999998,22665.04834092532,22723.5,22665.04834092532,22693.649999999998
2026-03-24T10:51:00+05:30,22706.25,22707.7,22653.6,22664.1,22679.349170462658,22707.7,22653.6,22682.9125,22679.349170462658,22707.7,22653.6,22682.9125
2026-03-24T10:54:00+05:30,22667.7,22674.25,22658.5,22660.7,22681.130835231328,22681.130835231328,22658.5,22665.2875,22681.130835231328,22681.130835231328,22658.5,22665.2875
2026-03-24T10:57:00+05:30,22660.1,22664.15,22629.4,22639.7,22673.209167615663,22673.209167615663,22629.4,22648.337499999998,22673.209167615663,22673.209167615663,22629.4,22648.337499999998
2026-03-24T11:00:00+05:30,22639.8,22667.2,22639.8,22662.5,22660.773333807832,22667.2,22639.8,22652.325,22660.773333807832,22667.2,22639.8,22652.325
2026-03-24T11:03:00+05:30,22662.25,22682,22661.45,22673.05,22656.54916690392,22682,22656.54916690392,22669.6875,22656.54916690392,22682,22656.54916690392,22669.6875
2026-03-24T11:06:00+05:30,22673.9,22689.1,22661.45,22686.4,22663.11833345196,22689.1,22661.45,22677.7125,22663.11833345196,22689.1,22661.45,22677.7125
2026-03-24T11:09:00+05:30,22685.75,22711.05,22678.5,22696.45,22670.41541672598,22711.05,22670.41541672598,22692.9375,22670.41541672598,22711.05,22670.41541672598,22692.9375
2026-03-24T11:12:00+05:30,22696.25,22703.85,22679.05,22698.25,22681.676458362992,22703.85,22679.05,22694.35,22681.676458362992,22703.85,22679.05,22694.35
2026-03-24T11:15:00+05:30,22699.4,22721.35,22692.8,22721.35,22688.013229181495,22721.35,22688.013229181495,22708.725,22688.013229181495,22721.35,22688.013229181495,22708.725
2026-03-24T11:18:00+05:30,22720.7,22746,22715.3,22742.3,22698.369114590747,22746,22698.369114590747,22731.075,22698.369114590747,22746,22698.369114590747,22731.075
2026-03-24T11:21:00+05:30,22741.45,22743.45,22714.8,22715.3,22714.722057295374,22743.45,22714.722057295374,22728.75,22714.722057295374,22743.45,22714.722057295374,22728.75
2026-03-24T11:24:00+05:30,22714.75,22720.4,22689.55,22720.25,22721.736028647687,22721.736028647687,22689.55,22711.2375,22721.736028647687,22721.736028647687,22689.55,22711.2375
2026-03-24T11:27:00+05:30,22721.35,22737.2,22716.55,22728.5,22716.486764323843,22737.2,22716.486764323843,22725.9,22716.486764323843,22737.2,22716.486764323843,22725.9
2026-03-24T11:30:00+05:30,22729.35,22745.5,22724.5,22739.4,22721.193382161924,22745.5,22721.193382161924,22734.6875,22721.193382161924,22745.5,22721.193382161924,22734.6875
2026-03-24T11:33:00+05:30,22739.05,22770,22731.9,22763.8,22727.940441080962,22770,22727.940441080962,22751.187500000004,22727.940441080962,22770,22727.940441080962,22751.187500000004
2026-03-24T11:36:00+05:30,22763.65,22766.4,22754.7,22760.65,22739.563970540483,22766.4,22739.563970540483,22761.35,22739.563970540483,22766.4,22739.563970540483,22761.35
2026-03-24T11:39:00+05:30,22759.65,22770.15,22743.35,22743.85,22750.45698527024,22770.15,22743.35,22754.25,22750.45698527024,22770.15,22743.35,22754.25
2026-03-24T11:42:00+05:30,22742.95,22755.65,22738.95,22754.65,22752.35349263512,22755.65,22738.95,22748.050000000003,22752.35349263512,22755.65,22738.95,22748.050000000003
2026-03-24T11:45:00+05:30,22754.35,22793.25,22745.85,22784.45,22750.20174631756,22793.25,22745.85,22769.475,22750.20174631756,22793.25,22745.85,22769.475
2026-03-24T11:48:00+05:30,22785.2,22787.7,22756.6,22771.75,22759.838373158782,22787.7,22756.6,22775.3125,22759.838373158782,22787.7,22756.6,22775.3125
2026-03-24T11:51:00+05:30,22771.05,22795.5,22765.9,22791.6,22767.57543657939,22795.5,22765.9,22781.012500000004,22767.57543657939,22795.5,22765.9,22781.012500000004
2026-03-24T11:54:00+05:30,22791.05,22827.65,22784.4,22827.5,22774.293968289698,22827.65,22774.293968289698,22807.65,22774.293968289698,22827.65,22774.293968289698,22807.65
