time,open,high,low,close,Up Trend,Down Trend,VWAP,Histogram,MACD,Signal line
2026-03-25T11:10:00+05:30,23422,23430.6,23410.7,23430,23316.265173477528,,23277.980288017327,-0.006874879301236092,84.16171631703037,84.1685911963316
2026-03-25T11:15:00+05:30,23431.9,23431.9,23402.2,23406,23316.265173477528,,23281.05753858289,-1.537857478888526,82.24626934772095,83.78412682660948
2026-03-25T11:20:00+05:30,23408.9,23413.2,23381,23382.8,23316.265173477528,,23283.87725479485,-4.66124437388514,77.95757135925305,82.61881573313819
2026-03-25T11:25:00+05:30,23382.8,23390,23368.1,23381.9,23316.265173477528,,23285.883709459355,-7.185228507119007,73.63728009923943,80.82250860635844
2026-03-25T11:30:00+05:30,23382.6,23394.8,23369.8,23375.7,23316.265173477528,,23287.54075225501,-9.523064211736298,68.91867834168806,78.44174255342436
2026-03-25T11:35:00+05:30,23376.1,23380.6,23336.4,23351.9,23316.265173477528,,23288.97348225004,-12.723158370401904,62.53779459042198,75.26095296082389
2026-03-25T11:40:00+05:30,23349,23371.3,23341.9,23346.3,23316.265173477528,,23290.903522268887,-15.105465066599166,56.37912162757493,71.4845866941741
2026-03-25T11:45:00+05:30,23345,23394.2,23341.3,23375,23316.265173477528,,23293.489507066803,-14.626939691552224,53.200912079733826,67.82785177128605
2026-03-25T11:50:00+05:30,23375.1,23400.1,23375.1,23395.7,23316.265173477528,,23294.776829542596,-12.857588844923868,51.75586571513122,64.61345456005509
2026-03-25T11:55:00+05:30,23395.7,23405,23376.9,23390,23316.265173477528,,23296.032269114585,-12.027407174234966,49.579195592261385,61.60660276649635
2026-03-25T12:00:00+05:30,23392.3,23401.9,23382,23398.8,23316.265173477528,,23297.111513179134,-10.876629024077431,48.01081648639956,58.887445510476994
2026-03-25T12:05:00+05:30,23398.3,23413.5,23389.9,23397.2,23316.265173477528,,23298.65760443698,-10.224146569822231,46.1072622981992,56.331408868021434
2026-03-25T12:10:00+05:30,23400,23439.6,23395.4,23438.2,23320.126293185353,,23301.772735054394,-7.17625503579449,47.36109007327832,54.53734510907281
2026-03-25T12:15:00+05:30,23437.4,23440.7,23412,23435,23330.103663866816,,23304.02956829389,-5.591127611875791,47.54843559422807,53.13956320610386
2026-03-25T12:20:00+05:30,23434.8,23444,23423.6,23423.9,23341.058297480133,,23305.265704138106,-5.497343625946733,46.26788367367044,51.76522729961717
2026-03-25T12:25:00+05:30,23425,23433.6,23410,23420,23341.058297480133,,23307.147043926605,-5.87120438873005,44.426221813704615,50.297426202434664
2026-03-25T12:30:00+05:30,23424.3,23455,23404.7,23439.6,23341.058297480133,,23310.379707295255,-5.0054806591231085,44.040575378530775,49.046056037653884
2026-03-25T12:35:00+05:30,23440,23451.3,23420.9,23420.9,23341.058297480133,,23311.770177364157,-5.841000074163993,41.744805944948894,47.58580601911289
2026-03-25T12:40:00+05:30,23420.9,23444.8,23416.8,23440,23341.058297480133,,23313.04653392163,-5.273405912355365,40.99404862866868,46.267454541024044
2026-03-25T12:45:00+05:30,23440,23445,23403,23406.1,23341.058297480133,,23314.081465964675,-7.22643859083577,37.23440630247933,44.4608448933151
2026-03-25T12:50:00+05:30,23406.1,23410,23380.1,23380.1,23341.058297480133,,23314.92655028026,-10.136340080444015,31.790419792760076,41.92675987320409
2026-03-25T12:55:00+05:30,23384.4,23387.9,23360,23360,23341.058297480133,,23316.112565150022,-13.09381957282902,25.559485407167813,38.65330497999683
2026-03-25T13:00:00+05:30,23361,23394.4,23355,23385.1,23341.058297480133,,23316.818533674705,-13.011682205654857,22.38870222292826,35.400384428583116
2026-03-25T13:05:00+05:30,23385.9,23410.9,23373,23388.7,23341.058297480133,,23317.625101807997,-12.371101170920582,19.93650796493239,32.30760913585297
2026-03-25T13:10:00+05:30,23389.5,23400,23382,23382,23341.058297480133,,23318.14617256164,-12.043204475901781,17.253603540975746,29.296808016877527
2026-03-25T13:15:00+05:30,23382,23406.8,23375,23375,23341.058297480133,,23318.809295843093,-11.920177553944797,14.396586074446532,26.316763628391328
2026-03-25T13:20:00+05:30,23376.6,23392.7,23363.7,23384,23341.058297480133,,23319.373707055176,-10.883757194367924,12.712067135431425,23.59582432979935
2026-03-25T13:25:00+05:30,23389.7,23419,23385.9,23409.9,23341.058297480133,,23320.440794027636,-8.225845588591056,13.313517344060529,21.539362932651585
