symbol,earning_date,leg,breakout_date,level,entry_time,entry_price,qty,sl_init,tp_price,locked_sl,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
HBLENGINE,2025-11-08,1,2025-08-14,787.6,2025-12-09 09:38,787.6,126,748.22,850.61,811.23,2025-12-22 09:15,850.61,TP,7939.01,8.0,13
NEULANDLAB,2025-11-07,1,2025-07-15,15500.0,2025-12-18 11:04,15500.0,6,14725.0,16740.0,15810.0,2025-12-22 10:24,15810.0,SL,1860.0,2.0,4
NAVINFLUOR,2025-10-30,0,2025-07-31,5444.0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
CGCL,2025-10-29,1,2025-08-04,192.5,2025-11-19 09:46,192.5,519,182.88,207.9,182.88,2025-12-09 09:55,182.88,SL,-4995.38,-5.0,20
CARTRADE,2025-10-28,1,2025-09-10,2705.1,2025-12-09 09:15,2705.1,36,2569.84,2921.51,2732.15,2025-12-11 13:32,2732.15,SL,973.84,1.0,2
SAGILITY,2025-10-29,0,2025-07-31,46.62,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
AARTIIND,2025-11-06,1,2024-11-11,458.0,2025-11-07 09:15,404.95,246,384.7,437.35,384.7,2025-11-21 09:16,384.7,SL,-4980.89,-5.0,14
SAILIFE,2025-11-06,0,,0.0,,0.0,0,0.0,0.0,0.0,,0.0,NO_LEVEL,0.0,0.0,0
INTELLECT,2025-10-31,1,2025-05-12,949.0,2025-12-30 15:00,949.0,105,901.55,1024.92,958.49,2026-01-08 13:11,958.49,SL,996.45,1.0,9
HINDCOPPER,2025-11-11,1,2025-10-09,365.5,2025-11-12 09:15,359.9,277,341.9,388.69,341.9,2025-11-12 11:19,341.9,SL,-4984.62,-5.0,0
HINDCOPPER,2025-11-11,2,2025-10-09,365.5,2025-12-04 10:52,359.9,277,341.9,388.69,363.5,2025-12-08 14:13,363.5,SL,996.92,1.0,4
SYRMA,2025-11-10,1,2025-07-09,663.1,2026-01-20 10:46,663.1,150,629.94,716.15,682.99,2026-01-28 14:23,716.15,TP,7957.2,8.0,8
AEGISLOG,2025-11-07,1,2025-10-03,944.6,2025-11-10 09:15,769.0,130,730.55,830.52,784.38,2025-11-20 09:16,784.38,SL,1999.4,2.0,10
