time,open,high,low,close,EMA 126,Upper Band,Lower Band
2026-05-06T13:33:00+05:30,24088.15,24093,24084.3,24088.05,24067.18463884387,24092.18463884387,24042.18463884387
2026-05-06T13:36:00+05:30,24087.55,24109.95,24084.15,24104,24067.764408310897,24092.764408310897,24042.764408310897
2026-05-06T13:39:00+05:30,24103.65,24108.1,24094.9,24096.5,24068.216937313875,24093.216937313875,24043.216937313875
2026-05-06T13:42:00+05:30,24096.65,24103.9,24095.2,24100.9,24068.731631214443,24093.731631214443,24043.731631214443
2026-05-06T13:45:00+05:30,24099.25,24110.4,24094.15,24106.65,24069.32877088036,24094.32877088036,24044.32877088036
2026-05-06T13:48:00+05:30,24105.9,24113.55,24094.3,24112.55,24070.009420157832,24095.009420157832,24045.009420157832
2026-05-06T13:51:00+05:30,24112.4,24115.95,24103.75,24106.15,24070.578563147472,24095.578563147472,24045.578563147472
2026-05-06T13:54:00+05:30,24106.25,24120.25,24102.65,24113.9,24071.26079049948,24096.26079049948,24046.26079049948
2026-05-06T13:57:00+05:30,24112.15,24117.6,24101.9,24106.95,24071.822825294763,24096.822825294763,24046.822825294763
2026-05-06T14:00:00+05:30,24106.8,24114.7,24096.4,24112.3,24072.460261116892,24097.460261116892,24047.460261116892
2026-05-06T14:03:00+05:30,24111.3,24117.1,24107.35,24112.85,24073.09631999694,24098.09631999694,24048.09631999694
2026-05-06T14:06:00+05:30,24112.45,24113.35,24106,24110.05,24073.678267713523,24098.678267713523,24048.678267713523
2026-05-06T14:09:00+05:30,24108.7,24117.05,24103.75,24116.95,24074.35971231646,24099.35971231646,24049.35971231646
2026-05-06T14:12:00+05:30,24116,24133.35,24114.4,24133.35,24075.288693224866,24100.288693224866,24050.288693224866
2026-05-06T14:15:00+05:30,24134.05,24151.1,24133.4,24149.95,24076.464461835498,24101.464461835498,24051.464461835498
2026-05-06T14:18:00+05:30,24150.4,24193.05,24139.15,24181.7,24078.121714405017,24103.121714405017,24053.121714405017
2026-05-06T14:21:00+05:30,24180.55,24255.65,24180.55,24242.9,24080.716648036436,24105.716648036436,24055.716648036436
