time,open,high,low,close,WMA44 (15m),Long,Short
2026-01-21T11:15:00+05:30,25055.4,25077.2,25026.6,25029.15,25295.841868686868,0,0
2026-01-21T11:30:00+05:30,25028,25071.2,25024.45,25040.05,25280.443080808083,0,0
2026-01-21T11:45:00+05:30,25041,25080.25,25040.9,25069.85,25266.868333333332,0,0
2026-01-21T12:00:00+05:30,25069.1,25136.15,25063.85,25136.15,25256.704999999998,0,0
2026-01-21T12:15:00+05:30,25135.15,25187.9,25118.5,25133.2,25246.828484848484,0,0
2026-01-21T12:30:00+05:30,25133.9,25245.85,25132,25226.7,25241.57777777778,0,0
2026-01-21T12:45:00+05:30,25225.9,25294.4,25225.1,25279.4,25239.036565656566,0,0
2026-01-21T13:00:00+05:30,25279.1,25300.95,25221.5,25237.45,25234.94696969696,0,0
2026-01-21T13:15:00+05:30,25237.6,25242.4,25196.05,25210.4,25230.03641414142,0,1
2026-01-21T13:30:00+05:30,25210.75,25238.25,25173.35,25195.7,25224.895303030302,0,0
2026-01-21T13:45:00+05:30,25195.15,25208.9,25148.45,25153.25,25218.266969696975,0,0
2026-01-21T14:00:00+05:30,25151.1,25160.3,25132.85,25136.7,25211.30939393939,0,0
2026-01-21T14:15:00+05:30,25137.45,25202.05,25120,25120.85,25204.00257575757,0,0
2026-01-21T14:30:00+05:30,25120.25,25166.4,25119.85,25150.1,25198.345909090913,0,0
2026-01-21T14:45:00+05:30,25149,25164.05,25137.65,25143.15,25192.69111111111,0,0
2026-01-21T15:00:00+05:30,25143.75,25182.5,25135.35,25155,25187.89181818182,0,0
2026-01-21T15:15:00+05:30,25155.2,25171.7,25140.55,25168.1,25184.005656565656,0,0
2026-01-22T09:15:00+05:30,25352.4,25395.75,25302.45,25386.65,25190.150353535355,0,0
2026-01-22T09:30:00+05:30,25385.2,25425.7,25385.2,25395.95,25196.788737373736,0,0
2026-01-22T09:45:00+05:30,25395.05,25435.75,25379.2,25394.55,25203.419090909098,0,0
