instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,level_1_target,level_1_pct,level_1_capital_pct,level_2_target,level_2_pct,level_2_capital_pct,level_3_target,level_3_pct,level_3_capital_pct,part_1_time,part_1_price,part_2_time,part_2_price,part_3_time,part_3_price
SENSEX,buy,CE,78000.0,WEEK,1,2025-01-01 10:00:00+05:30,609.75,1,3,579.2624999999999,2025-01-01 10:11:00+05:30,637.18875,TARGET,57.926250000000095,10.000000000000018,1158.525000000002,20,CLOSED,579.2624999999999,5.0,33.33,548.775,10.0,33.33,518.2875,15.0,33.34,2025-01-01 10:00:00+05:30,579.2624999999999,,,,
SENSEX,buy,PE,78500.0,WEEK,1,2025-01-01 11:28:00+05:30,543.1,1,3,515.945,2025-01-01 11:28:00+05:30,567.5395000000001,TARGET,51.59450000000004,10.000000000000005,1031.8900000000008,20,CLOSED,515.945,5.0,33.33,488.79,10.0,33.33,461.635,15.0,33.34,2025-01-01 11:28:00+05:30,515.945,,,,
SENSEX,buy,PE,78400.0,WEEK,1,2025-01-01 11:49:00+05:30,519.25,3,3,467.3224037499999,2025-01-01 13:11:00+05:30,514.054644125,TARGET,46.73224037500006,10.000000000000014,934.6448075000012,20,CLOSED,493.28749999999997,5.0,33.33,467.325,10.0,33.33,441.3625,15.0,33.34,2025-01-01 12:05:00+05:30,493.28749999999997,2025-01-01 12:16:00+05:30,467.325,2025-01-01 12:20:00+05:30,441.3625
SENSEX,buy,CE,78400.0,WEEK,1,2025-01-01 12:08:00+05:30,650.25,1,3,617.7375,2025-01-01 13:40:00+05:30,679.51125,TARGET,61.773750000000064,10.000000000000012,1235.4750000000013,20,CLOSED,617.7375,5.0,33.33,585.225,10.0,33.33,552.7125,15.0,33.34,2025-01-01 13:11:00+05:30,617.7375,,,,
SENSEX,buy,PE,78600.0,WEEK,1,2025-01-01 14:16:00+05:30,497.0,1,3,472.15,2025-01-01 14:45:00+05:30,519.365,TARGET,47.21500000000003,10.000000000000007,944.3000000000006,20,CLOSED,472.15,5.0,33.33,447.3,10.0,33.33,422.45,15.0,33.34,2025-01-01 14:30:00+05:30,472.15,,,,
SENSEX,buy,CE,78700.0,WEEK,1,2025-01-01 14:36:00+05:30,553.3,3,3,497.9672334999999,2025-01-01 15:29:00+05:30,512.15,EOD,14.18276650000007,2.848132476571889,283.6553300000014,20,CLOSED,525.6349999999999,5.0,33.33,497.96999999999997,10.0,33.33,470.30499999999995,15.0,33.34,2025-01-01 14:42:00+05:30,525.6349999999999,2025-01-01 14:44:00+05:30,497.96999999999997,2025-01-01 14:55:00+05:30,470.30499999999995
SENSEX,buy,PE,79200.0,WEEK,1,2025-01-02 11:40:00+05:30,501.65,2,3,464.02625,2025-01-02 12:15:00+05:30,510.42887500000006,TARGET,46.40262500000006,10.000000000000012,928.0525000000011,20,CLOSED,476.56749999999994,5.0,33.33,451.485,10.0,33.33,426.4025,15.0,33.34,2025-01-02 12:00:00+05:30,476.56749999999994,2025-01-02 12:00:00+05:30,451.485,,
SENSEX,buy,PE,79100.0,WEEK,1,2025-01-02 12:16:00+05:30,470.2,3,3,423.177649,2025-01-02 12:30:00+05:30,359.70100164999997,STOP_LOSS,-63.47664735000001,-15.000000000000002,-1269.5329470000001,20,CLOSED,446.68999999999994,5.0,33.33,423.18,10.0,33.33,399.66999999999996,15.0,33.34,2025-01-02 12:19:00+05:30,446.68999999999994,2025-01-02 12:25:00+05:30,423.18,2025-01-02 12:25:00+05:30,399.66999999999996
SENSEX,buy,PE,79700.0,WEEK,1,2025-01-02 14:02:00+05:30,351.9,3,3,316.70824049999993,2025-01-02 14:20:00+05:30,269.2020044249999,STOP_LOSS,-47.506236075000004,-15.000000000000005,-950.1247215000001,20,CLOSED,334.30499999999995,5.0,33.33,316.71,10.0,33.33,299.11499999999995,15.0,33.34,2025-01-02 14:04:00+05:30,334.30499999999995,2025-01-02 14:08:00+05:30,316.71,2025-01-02 14:09:00+05:30,299.11499999999995
SENSEX,buy,PE,79400.0,WEEK,1,2025-01-03 10:14:00+05:30,212.4,3,3,191.158938,2025-01-03 10:16:00+05:30,162.4850973,STOP_LOSS,-28.6738407,-15.0,-573.476814,20,CLOSED,201.78,5.0,33.33,191.16,10.0,33.33,180.54,15.0,33.34,2025-01-03 10:14:00+05:30,201.78,2025-01-03 10:15:00+05:30,191.16,2025-01-03 10:16:00+05:30,180.54
SENSEX,buy,PE,79300.0,WEEK,1,2025-01-03 10:36:00+05:30,148.95,2,3,137.77875,2025-01-03 10:36:00+05:30,151.55662500000003,TARGET,13.777875000000023,10.000000000000016,275.55750000000046,20,CLOSED,141.50249999999997,5.0,33.33,134.055,10.0,33.33,126.60749999999999,15.0,33.34,2025-01-03 10:36:00+05:30,141.50249999999997,2025-01-03 10:36:00+05:30,134.055,,
SENSEX,buy,CE,79400.0,WEEK,1,2025-01-03 11:08:00+05:30,137.1,1,3,130.24499999999998,2025-01-03 11:10:00+05:30,143.2695,TARGET,13.024500000000018,10.000000000000016,260.49000000000035,20,CLOSED,130.24499999999998,5.0,33.33,123.39,10.0,33.33,116.535,15.0,33.34,2025-01-03 11:09:00+05:30,130.24499999999998,,,,
SENSEX,buy,CE,79700.0,WEEK,1,2025-01-03 11:57:00+05:30,168.45,3,3,151.60415774999998,2025-01-03 11:57:00+05:30,166.764573525,TARGET,15.160415775000018,10.000000000000012,303.20831550000037,20,CLOSED,160.02749999999997,5.0,33.33,151.605,10.0,33.33,143.18249999999998,15.0,33.34,2025-01-03 11:57:00+05:30,160.02749999999997,2025-01-03 11:57:00+05:30,151.605,2025-01-03 11:57:00+05:30,143.18249999999998
SENSEX,buy,PE,79600.0,WEEK,1,2025-01-03 12:08:00+05:30,85.35,3,3,76.81457325,2025-01-03 12:14:00+05:30,65.2923872625,STOP_LOSS,-11.522185987499995,-14.999999999999995,-230.4437197499999,20,CLOSED,81.0825,5.0,33.33,76.815,10.0,33.33,72.5475,15.0,33.34,2025-01-03 12:12:00+05:30,81.0825,2025-01-03 12:12:00+05:30,76.815,2025-01-03 12:13:00+05:30,72.5475
SENSEX,buy,CE,79500.0,WEEK,1,2025-01-03 13:01:00+05:30,102.5,3,3,92.2494875,2025-01-03 13:01:00+05:30,101.47443625000001,TARGET,9.22494875000001,10.00000000000001,184.4989750000002,20,CLOSED,97.375,5.0,33.33,92.25,10.0,33.33,87.125,15.0,33.34,2025-01-03 13:01:00+05:30,97.375,2025-01-03 13:01:00+05:30,92.25,2025-01-03 13:01:00+05:30,87.125
SENSEX,buy,CE,79600.0,WEEK,1,2025-01-03 13:20:00+05:30,90.3,3,3,81.26954849999998,2025-01-03 13:20:00+05:30,89.39650334999999,TARGET,8.126954850000004,10.000000000000007,162.53909700000008,20,CLOSED,85.785,5.0,33.33,81.27,10.0,33.33,76.755,15.0,33.34,2025-01-03 13:20:00+05:30,85.785,2025-01-03 13:20:00+05:30,81.27,2025-01-03 13:20:00+05:30,76.755
SENSEX,buy,CE,79600.0,WEEK,1,2025-01-03 13:24:00+05:30,80.6,2,3,74.55499999999999,2025-01-03 13:24:00+05:30,82.0105,TARGET,7.455500000000001,10.000000000000002,149.11,20,CLOSED,76.57,5.0,33.33,72.53999999999999,10.0,33.33,68.50999999999999,15.0,33.34,2025-01-03 13:24:00+05:30,76.57,2025-01-03 13:24:00+05:30,72.53999999999999,,
SENSEX,buy,PE,79500.0,WEEK,1,2025-01-03 13:35:00+05:30,56.2,3,3,50.579719000000004,2025-01-03 13:35:00+05:30,55.63769090000001,TARGET,5.057971900000005,10.00000000000001,101.15943800000011,20,CLOSED,53.39,5.0,33.33,50.580000000000005,10.0,33.33,47.77,15.0,33.34,2025-01-03 13:35:00+05:30,53.39,2025-01-03 13:35:00+05:30,50.580000000000005,2025-01-03 13:35:00+05:30,47.77
