time,open,high,low,close,EMA,EMA
2026-04-09T13:00:00+05:30,140.05,143.1,134.8,142.75,132.6313601734905,137.27331144432247
2026-04-09T13:03:00+05:30,143,144.25,138,143.3,133.601236521355,138.3690729999002
2026-04-09T13:06:00+05:30,142.65,146.2,136.75,138.9,134.0829422921409,138.46560518173652
2026-04-09T13:09:00+05:30,138.55,146.9,137.15,146.9,135.24812935649172,139.99913151232988
2026-04-09T13:12:00+05:30,148.55,151.9,143.6,146.5,136.27102668771974,141.18110760099717
2026-04-09T13:15:00+05:30,146.85,155.2,146.85,154.15,137.89638789792704,143.5390880371795
2026-04-09T13:18:00+05:30,154.05,159.35,151.45,159.05,139.81944354357003,146.3592538486014
2026-04-09T13:21:00+05:30,160,171.45,159.2,161.6,141.7994941305182,149.13029860340114
2026-04-09T13:24:00+05:30,161.85,165.95,159.05,160.3,143.4813583004711,151.16115340278276
2026-04-09T13:27:00+05:30,160.55,170.45,159.7,168.6,145.76487118224645,154.331852784095
2026-04-09T13:30:00+05:30,168.6,177.35,163.35,168.25,147.80897380204223,156.86242500516863
2026-04-09T13:33:00+05:30,168.65,168.65,159.6,160.4,148.9536125473111,157.50562045877433
2026-04-09T13:36:00+05:30,160.35,169.05,156.4,163.25,150.25328413391918,158.55005310263354
2026-04-09T13:39:00+05:30,164.15,174.65,164.15,173.4,152.35753103083562,161.25004344760927
2026-04-09T13:42:00+05:30,173.05,176.25,170.3,173.95,154.3204827553051,163.55912645713485
2026-04-09T13:45:00+05:30,175,185,170,184.3,157.04589341391375,167.3301943740194
2026-04-09T13:48:00+05:30,182.35,183.75,165.2,165.45,157.80990310355796,166.98834085147044
2026-04-09T13:51:00+05:30,165,175.85,161.75,174.05,159.28627554868905,168.27227887847582
2026-04-09T13:54:00+05:30,174.15,174.15,162.3,162.3,159.56025049880822,167.18640999148022
2026-04-09T13:57:00+05:30,162.65,170.25,162.2,168.95,160.41386408982564,167.507062720302
2026-04-09T14:00:00+05:30,167.9,172.95,163.35,166.7,160.98533099075058,167.36032404388345
2026-04-09T14:03:00+05:30,166.6,167.55,155.75,166.3,161.46848271886418,167.16753785408648
2026-04-09T14:06:00+05:30,166.3,166.7,153.8,154.15,160.80316610805835,164.80071278970712
2026-04-09T14:09:00+05:30,153.65,169,152.5,169,161.5483328255076,165.56421955521492
2026-04-09T14:12:00+05:30,169.05,174.2,163.1,171.15,162.42121165955237,166.5798159997213
2026-04-09T14:15:00+05:30,170.85,174.45,166.85,168.95,163.01473787232032,167.0107585452265
2026-04-09T14:18:00+05:30,169,174.75,168.5,171.35,163.77248897483665,167.7997115370035
2026-04-09T14:21:00+05:30,171.85,183.2,168.55,182.4,165.4658990680333,170.4543094393665
2026-04-09T14:24:00+05:30,180.75,193.7,179.45,191.65,167.8462718800303,174.3080713594817
2026-04-09T14:27:00+05:30,192.05,197.4,183.6,186.9,169.57842898184572,176.597512930485
2026-04-09T14:30:00+05:30,186.8,209.7,184.75,197.35,172.10311725622338,180.37069239766956
2026-04-09T14:33:00+05:30,197,199.4,191,195.15,174.19828841474853,183.0578392344569
2026-04-09T14:36:00+05:30,194.75,198.2,191.7,195.55,176.13935310431685,185.32914119182837
2026-04-09T14:39:00+05:30,196,197.65,184.75,184.75,176.9221391857426,185.22384279331413
2026-04-09T14:42:00+05:30,183.2,184.3,171.05,176.35,176.87012653249326,183.61041683089337
2026-04-09T14:45:00+05:30,178.2,181.45,173.5,173.85,176.59556957499387,181.83579558891276
2026-04-09T14:48:00+05:30,172.15,179.9,169.3,178.9,176.80506324999442,181.3020145727468
2026-04-09T14:51:00+05:30,178.7,179.85,167.8,168.65,176.0636938636313,179.00164828679283
2026-04-09T14:54:00+05:30,168.8,173.45,164.9,170.4,175.54881260330117,177.43771223464867
2026-04-09T14:57:00+05:30,170.65,174.8,165.7,169.25,174.97619327572835,175.94903728289438
2026-04-09T15:00:00+05:30,168.25,175.8,149.15,151.6,172.85108479611668,171.5219395950954
2026-04-09T15:03:00+05:30,152.8,163.25,142.95,153.5,171.09189526919698,168.24522330507807
2026-04-09T15:06:00+05:30,152.8,156.9,148.7,149.15,169.0971775174518,164.7733645223366
2026-04-09T15:09:00+05:30,150.5,150.5,142.05,145.35,166.93834319768345,161.2418437000936
2026-04-09T15:12:00+05:30,145.45,145.85,138.5,145.25,164.96667563425768,158.33423575462203
2026-04-09T15:15:00+05:30,145.1,152,144.25,150,163.6060687584161,156.81892016287256
2026-04-09T15:18:00+05:30,149.65,152.8,147.95,149,162.27824432583282,155.39729831507753
2026-04-09T15:21:00+05:30,147.9,150.15,141.9,145.65,160.76658575075712,153.62506225779072
2026-04-09T15:24:00+05:30,145.4,147.55,143.4,146.7,159.48780522796102,152.3659600291015
2026-04-09T15:27:00+05:30,146.55,149.85,145.15,147.75,158.4207320254191,151.52669456926486
2026-04-10T09:15:00+05:30,100,139.9,74.85,77.15,151.03248365947192,138.00365919303488
2026-04-10T09:18:00+05:30,77,77.95,67.25,69.85,143.6522578722472,125.61208479430127
2026-04-10T09:21:00+05:30,69.85,73.9,69.4,72.95,137.2247798838611,116.03716028624649
2026-04-10T09:24:00+05:30,73.6,81.75,71.4,81.75,132.18161807623736,109.80313114329259
2026-04-10T09:27:00+05:30,82.7,85.05,73.95,73.95,126.88783461476123,103.2843800263303
2026-04-10T09:30:00+05:30,73.2,78.9,71.25,72.5,121.9434860134193,97.68722002154297
2026-04-10T09:33:00+05:30,72.25,77.95,69.5,77,117.8577145576539,93.92590729035334
2026-04-10T09:36:00+05:30,77.7,79.3,71.8,75.35,113.99337687059446,90.54846960119818
2026-04-10T09:39:00+05:30,75.15,77,70.3,73.8,110.33943351872223,87.50329331007124
2026-04-10T09:42:00+05:30,72.5,72.55,67.9,70.85,106.7494850170202,84.4754217991492
2026-04-10T09:45:00+05:30,70.6,72.45,62.15,63.3,102.79953183365473,80.6253451083948
2026-04-10T09:48:00+05:30,63.05,65.15,59.8,62.1,99.09957439423157,77.25710054323211
2026-04-10T09:51:00+05:30,62,63.4,60.7,60.95,95.63143126748324,74.29217317173537
2026-04-10T09:54:00+05:30,60.3,61.3,58.55,60.75,92.4603920613484,71.82995986778349
2026-04-10T09:57:00+05:30,60.55,60.55,58.5,60.25,89.53217460122582,69.72451261909558
2026-04-10T10:00:00+05:30,59.75,61.3,57.7,60.7,86.91106781929619,68.08369214289638
2026-04-10T10:03:00+05:30,60.3,70.25,60.1,68,85.19187983572381,68.0684753896425
2026-04-10T10:06:00+05:30,67.9,70.65,66,68.2,83.64716348702164,68.09238895516205
2026-04-10T10:09:00+05:30,68.25,68.25,59.6,60.65,81.55651226092877,66.73922732695077
2026-04-10T10:12:00+05:30,61,61,56.3,56.6,79.28773841902616,64.89573144932335
2026-04-10T10:15:00+05:30,55.6,56,52.3,53.15,76.91158038093286,62.76014391308274
2026-04-10T10:18:00+05:30,53.15,53.45,51.45,52.2,74.66507307357533,60.8401177470677
2026-04-10T10:21:00+05:30,51.9,52.15,50,50,72.42279370325029,58.86918724760085
2026-04-10T10:24:00+05:30,50.1,51,47.6,49.8,70.3661760938639,57.22024411167342
2026-04-10T10:27:00+05:30,49.75,52.35,49.75,50.65,68.57379644896719,56.02565427318735
2026-04-10T10:30:00+05:30,50.35,52.5,49.2,51.15,66.98981495360653,55.139171678062375
2026-04-10T10:33:00+05:30,51.3,52.85,49.4,51.35,65.56801359418775,54.450231372960125
2026-04-10T10:36:00+05:30,51.05,52,49.6,52,64.33455781289796,54.00473475969465
2026-04-10T10:39:00+05:30,51.9,52.2,50,51.45,63.163234375361775,53.54023753065926
2026-04-10T10:42:00+05:30,51.6,51.7,50.5,51.65,62.11657670487434,53.196557979630306
2026-04-10T10:45:00+05:30,51.5,53.2,50.9,51,61.10597882261304,52.79718380151571
2026-04-10T10:48:00+05:30,50.75,54.15,50.75,54.1,60.469071656920946,53.034059473967396
2026-04-10T10:51:00+05:30,54,54.75,53,53.3,59.81733786992813,53.08241229688242
2026-04-10T10:54:00+05:30,53.3,55.55,53.15,55.45,59.42030715448012,53.51288278835834
2026-04-10T10:57:00+05:30,55.45,58.5,52,52.6,58.80027923134556,53.34690409956591
2026-04-10T11:00:00+05:30,52.65,54,50.65,52.85,58.259344755768694,53.25655789964484
2026-04-10T11:03:00+05:30,53.3,54.9,52.5,54.15,57.885767959789725,53.41900191789123
2026-04-10T11:06:00+05:30,54,54,50.7,51.3,57.287061781627024,53.03372884191101
2026-04-10T11:09:00+05:30,51.35,51.75,48.9,49.55,56.58369252875184,52.40032359792718
2026-04-10T11:12:00+05:30,49.7,50.4,48.4,50.15,55.9988113897744,51.99117385284951
2026-04-10T11:15:00+05:30,49.55,53.8,48.85,53.6,55.78073762706764,52.283687697785965
2026-04-10T11:18:00+05:30,54,54.95,52.25,53.15,55.54157966097058,52.441199025461245
2026-04-10T11:21:00+05:30,53.2,54.35,51.05,52.7,55.28325423724598,52.488253748104654
2026-04-10T11:24:00+05:30,52.4,54.05,50.25,51.15,54.9075038520418,52.2449348848129
2026-04-10T11:27:00+05:30,51.45,54.35,51.1,53.95,54.82045804731073,52.554946723937825
2026-04-10T11:30:00+05:30,53.85,53.85,50.35,50.8,54.45496186119157,52.23586550140367
2026-04-10T11:33:00+05:30,51.2,51.45,49.7,50.55,54.09996532835597,51.92934450114846
2026-04-10T11:36:00+05:30,50.7,56.05,50.7,53.1,54.00905938941452,52.1421909554851
2026-04-10T11:39:00+05:30,53.1,56.25,51,56.25,54.212781263104105,52.88906532721508
2026-04-10T11:42:00+05:30,56.1,58.3,54.05,56.35,54.40707387554919,53.51832617681234
2026-04-10T11:45:00+05:30,55.2,59.8,54,59.8,54.897339886862895,54.66044869011918
2026-04-10T11:48:00+05:30,60.6,62.95,55.7,55.7,54.97030898805718,54.849458019188425
2026-04-10T11:51:00+05:30,55.5,56.7,54.2,55.9,55.05482635277925,55.040465652063254
2026-04-10T11:54:00+05:30,56.1,56.85,53.8,55,55.04984213889023,55.033108260779024
2026-04-10T11:57:00+05:30,54.7,54.9,52.15,52.7,54.83622012626385,54.6089067588192
2026-04-10T12:00:00+05:30,52.65,54.3,50.95,50.95,54.48292738751259,53.943650984488436
2026-04-10T12:03:00+05:30,50.75,50.8,48.75,49.55,54.03447944319326,53.144805350945084
2026-04-10T12:06:00+05:30,49.8,50,47.75,49,53.576799493812054,52.39120437804598
2026-04-10T12:09:00+05:30,49,49.75,48.25,49.15,53.17436317619278,51.80189449112853
2026-04-10T12:12:00+05:30,49.25,49.75,47.7,48.9,52.785784705629794,51.27427731092334
2026-04-10T12:15:00+05:30,48.95,51,48.55,49.75,52.50980427784527,50.99713598166455
2026-04-10T12:18:00+05:30,49.95,51.5,49.5,50.45,52.3225493434957,50.897656712270994
2026-04-10T12:21:00+05:30,50.6,51.55,48.8,48.95,52.01595394863246,50.5435373100399
