symbol,company_name,market_cap_cr
NIACL,New India Assurance Company Ltd,19422
ASTRAZEN,Astrazeneca Pharma India Ltd,19399
KIRLOSENG,Kirloskar Oil Engines Ltd,19286
KIOCL,KIOCL Ltd,19238
WOCKPHARMA,Wockhardt Ltd,19129
INDIGRID,IndiGrid Infrastructure Trust,18819
ATUL,Atul Ltd,18763
SAGILITY,Sagility Ltd,18697
CREDITACC,CreditAccess Grameen Ltd,18508
IIFL,IIFL Finance Ltd,18277
URBANCO,Urban Company Ltd,18275
SUMICHEM,Sumitomo Chemical India Ltd,18204
PPLPHARMA,Piramal Pharma Ltd,18138
GPIL,Godawari Power & Ispat Ltd,18066
KPIL,Kalpataru Projects International Ltd,18057
GMDCLTD,Gujarat Mineral Development Corporation Ltd,17991
ERIS,ERIS Lifesciences Ltd,17986
SARDAEN,Sarda Energy & Minerals Ltd,17975
AEGISVOPAK,Aegis Vopak Terminals Ltd,17922
RBLBANK,RBL Bank Ltd,17916
PINELABS,Pine Labs Ltd,17896
CUB,City Union Bank Ltd,17826
NETWEB,Netweb Technologies India Ltd,17637
DEEPAKNTR,Deepak Nitrite Ltd,17560
NATCOPHARM,Natco Pharma Ltd,17463
DCMSHRIRAM,DCM Shriram Ltd,17434
KPITTECH,KPIT Technologies Ltd,17407
EMAMILTD,Emami Ltd,17159
CASTROLIND,Castrol India Ltd,17156
EIHOTEL,EIH Ltd,17110
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,17082
HBLENGINE,HBL Engineering Ltd,17041
DATAPATTNS,Data Patterns (India) Ltd,16987
ONESOURCE,OneSource Specialty Pharma Ltd,16876
CIEINDIA,CIE Automotive India Ltd,16874
CRAFTSMAN,Craftsman Automation Ltd,16673
TRAVELFOOD,Travel Food Services Ltd,16573
BELRISE,Belrise Industries Ltd,16552
JYOTICNC,Jyoti CNC Automation Ltd,16423
VERTIS,Vertis Infrastructure Trust,16096
AVANTIFEED,Avanti Feeds Ltd,15958
CGCL,Capri Global Capital Ltd,15957
BRIGADE,Brigade Enterprises Ltd,15919
ACMESOLAR,ACME Solar Holdings Ltd,15846
,National Securities Depository Ltd,15823
SUNDRMFAST,Sundram Fasteners Ltd,15785
JAINREC,Jain Resource Recycling Ltd,15741
SYNGENE,Syngene International Ltd,15725
BIKAJI,Bikaji Foods International Ltd,15593
REDINGTON,Redington Ltd,15592
CENTURYPLY,Century Plyboards (India) Ltd,15587
CAMS,Computer Age Management Services Ltd,15521
RATNAMANI,Ratnamani Metals & Tubes Ltd,15421
NEULANDLAB,Neuland Laboratories Ltd,15412
GRANULES,Granules India Ltd,15392
CHALET,Chalet Hotels Ltd,15299
VTL,Vardhman Textiles Ltd,15186
KFINTECH,KFin Technologies Ltd,15108
NAVA,Nava Ltd,15033
JSWCEMENT,JSW Cement Ltd,15031
EMMVEE,Emmvee Photovoltaic Power Ltd,14996
GRINDWELL,Grindwell Norton Ltd,14981
SYRMA,Syrma SGS Technology Ltd,14916
TATACHEM,Tata Chemicals Ltd,14856
ELGIEQUIP,Elgi Equipments Ltd,14816
CARBORUNIV,Carborundum Universal Ltd,14790
RRKABEL,R R Kabel Ltd,14668
KAJARIACER,Kajaria Ceramics Ltd,14637
PSB,Punjab & Sind Bank,14624
ANANTRAJ,Anant Raj Ltd,14597
AETHER,Aether Industries Ltd,14525
AARTIIND,Aarti Industries Ltd,14462
FSL,Firstsource Solutions Ltd,14441
CHENNPETRO,Chennai Petroleum Corporation Ltd,14405
CROMPTON,Crompton Greaves Consumer Electricals Ltd,14388
TRITURBINE,Triveni Turbine Ltd,13971
BHARATCOAL,Bharat Coking Coal Ltd,13943
ANURAS,Anupam Rasayan India Ltd,13931
DOMS,Doms Industries Ltd,13919
BASF,BASF India Ltd,13915
