ticker,bsecode,q3_result_date,pdf,size,source,verify,newssub
IIFL,532636,2026-01-22,IIFL_20260122.pdf,12.55MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for Outcome Of Board Meeting Held On January 22, 2026"
CRAFTSMAN,543276,2026-01-28,CRAFTSMAN_20260128.pdf,3.35MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for Outcome Of The Board Meeting Held On 28Th January, 2026 Pursuant To Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements), Regulations, 2015;"
POONAWALLA,524000,2026-01-16,POONAWALLA_20260116.pdf,9.77MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for Board Meeting Outcome For Outcome Of Board Meeting Held On January 16, 2026"
ENGINERSIN,532178,2026-02-12,ENGINERSIN_20260212.pdf,4.93MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for Un-Audited Standalone And Consolidated Financial Results For The Quarter & Nine Months Ended On 31St December, 2025."
AARTIIND,524208,2026-02-02,AARTIIND_20260202.pdf,5.81MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for Financial Results For The Quarter And Nine Months Ended December 31, 2025"
NAVINFLUOR,532504,2026-02-09,NAVINFLUOR_20260209.pdf,11.35MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for For February 09, 2026"
SYRMA,543573,2026-01-29,SYRMA_20260129.pdf,2.38MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for Outcome Of Board Meeting Held On January 29, 2026, Under Regulation 30 And 33 Of The SEBI (Listing Obligation And Disclosure Requirements) Regulations, 2015"
CHOICEIN,531358,2026-02-03,CHOICEIN_20260203.pdf,25.74MB,NSE,VERIFIED,
SAILIFE,544306,2026-02-05,SAILIFE_20260205.pdf,0.96MB,BSE/AttachHis,VERIFIED,Board Meeting Outcome for For Approval Of Unaudited Financial Results (Standalone And Consolidated) For The Quarter And Nine Months Ended On 31 December 2025.
RRKABEL,543981,2026-01-31,RRKABEL_20260131.pdf,7.97MB,BSE/AttachHis,VERIFIED,Board Meeting Outcome for Intimation Of The Outcome Of The Board Meeting
ECLERX,532927,2026-01-28,ECLERX_20260128.pdf,0.60MB,BSE/AttachHis,VERIFIED,Board Meeting Outcome for Outcome Of Board Meeting
TARIL,532928,2026-01-08,TARIL_20260108.pdf,6.88MB,BSE/AttachHis,VERIFIED,"Board Meeting Outcome for Outcome Of Board Meeting Held On 08Th January, 2026 And Submission Of Unaudited Standalone And Consolidated Financial Results Of The Company For The Quarter And Nine Months Ended 31St December, 2025"
